,Company,Location,Salary,Summary,Title,Job Category
0,"National Retail Systems, Inc.","Hasbrouck Heights, NJ 07604",Not available,"3-5 years of experience working with supply chain operations and data analytics. Reporting directly to the Director of Data Analytics & Compliance, the...",Senior Operations Analyst,Other
2,Oakland Spine & Physical Therapy,"Oakland, NJ 07436",Not available,"Demonstrable experience in marketing data analytics and tools. Solid computer skills, including MS Office, marketing software (Adobe Creative Suite & CRM) and...",Marketing,Other
3,AST,"Ridgefield Park, NJ",Not available,"AST is a full-service, tech-enabled professional services firm that helps companies and shareholders across North America maintain momentum through the use of...",Customer Service Representative (RPK),Other
27,National Security Agency,"Fort Meade, MD","$45,972 - $73,105 a year","$45,972 - $73,105 a year


                            The ideal candidate is someone with a desire for continual learning and who possesses strong communication (oral and written), problem-solving, analytic,...",Staff Officer - Entry to Experienced Level,Other
34,Microsoft,United States,Not available,"As a business program manager, you will have the opportunity to work on a variety of different projects leveraging your diverse skillset across sales, marketing...",Full Time opportunities for students and recent graduates: B...,Other
65,Holy Name Medical Center,"Teaneck, NJ",Not available,Proficiency with analytics software and solutions is required. The Data Science Statistician is responsible for statistical analytic efforts of for research and...,Data Science Statistian,Other
87,BMW of North America LLC.,"Woodcliff Lake, NJ 07677",Not available,"Perform advanced budget analytics that include trending, seasonality and de-seasonality projections, respectively....",P2P and Budget Analyst,Other
88,Deloitte,"Philadelphia, PA 19103",Not available,"Analytics and Cognitive. As part of Deloitte’s Strategy and Analytics talent group, Analytics & Cognitive is the premier data-powered and platform-enabled...",Data Science Consumer Products & Retail- Specialist Master,Other
105,Humana,United States,Not available,Experience in a system analytics and/or data warehousing environment. The Senior Data and Reporting Professional generates ad hoc reports and regular datasets...,"Senior Data and Reporting Professional, Clocktower",Other
127,JP Morgan Chase,"Jersey City, NJ 07310 (Downtown area)",Not available,"F3 is an enterprise-wide forecasting and analytical platform that aims to provide a one-stop shop for forecasting and analytics, with robust controls and...","Corporate - Forecasting & Capital Solutions, Business Analyt...",Other
137,Express Scripts,"Franklin Lakes, NJ 07417",Not available,Provide analytic support for rebate contact negotiations. The Financial Analyst works closely with the Manager– Financial Analysis to provide financial support...,Financial Analyst,Other
150,Delta Air Lines,"New York, NY 10019 (Midtown area)",Not available,"The Project Management Co-Op position requires that a candidate must be currently pursuing a Bachelor's degree in Computer Science, Industrial Engineering,...",Project Management Spring 2019 Co-Op,Other
162,IBM,United States,Not available,"New digital technologies along with cloud, mobile, analytics and cognitive computing are changing how we engage and work with one another....",Entry Level Business Consultant - GBS Commercial Sector,Other
178,Express Scripts,"Franklin Lakes, NJ 07417",Not available,"Strong understanding of client analytics, financials, and value trade offs. The Pricing Analyst role will be responsible for all pricing activities in...",Pricing Analyst,Other
185,Becton Dickinson & Company,"Franklin Lakes, NJ 07417",Not available,"Strong analytic skills and attention to detail. Act as a ‘super user’ for the enterprise solutions for planning, reporting, and analytics....","Senior Financial Analyst, BP&A Transformation",Other
193,Google,"Mountain View, CA",Not available,Experience with quantitative and qualitative analytics. Bachelor's degree or equivalent practical experience....,"Corporate Development Strategy and Scouting, Analyst",Other
213,Google,"Boulder, CO 80302",Not available,"Develop and automate data and analytics solutions, iteratively build and prototype dashboards to provide insights at scale....","People Analyst, Reporting and Insights",Other
228,Bank of America,"New York, NY 10036",Not available,"Responsible for developing new models, analytic processes or systems approaches. Perform financial and statistical analyses, conduct quantitative analytics and...","Associate, Quantitative Strategist",Other
257,Avenue Stores,"Rochelle Park, NJ 07662",Not available,Expertise in utilizing web analytics and attribution tools such as Adobe Analytics & Google Analytics. FIND THE RIGHT FIT FOR YOU AT AVENUE....,Marketing Analyst - Digital,Other
262,Microsoft,United States,Not available,"As a business program manager, you will have the opportunity to work on a variety of different projects leveraging your diverse skillset across sales, marketing...",Full Time opportunities for MBA students and recent graduate...,Other
265,Deloitte,"Los Angeles, CA 90071",Not available,"Analytics & Cognitive. Analytics & Cognitive will work with our clients to:. The Analytics & Cognitive team leverages the power of data, analytics, robotics,...","Strategy, Analyst - Government",Other
270,Apple Montessori Schools,"Riverdale, NJ 07457",Not available,"Strong understanding of marketing concepts, social media, and website analytics. Chief Operating Officer....",Chief Operating Officer,Other
279,ADP,"Roseland, NJ 07068",Not available,"Strong collaboration, problem-solving and analytics skills. ADP is currently hiring a Strategy Analyst....",Strategy Analyst,Other
281,Not available,United States,Not available,"The advances of Artificial Intelligence (AI) and automation have the potential to greatly enhance our information sharing, processing and analytics capabilities...",Use of artificial intelligence to validate data and to autom...,Other
292,Unilever,"Englewood Cliffs, NJ",Not available,This role helps influence the digitization and data analytics opportunities in the supplier quality data network. Background & Purpose of the Job....,"Procurement Excellence Analyst - Quality , North America",Other
293,Unilever,"Englewood Cliffs, NJ",Not available,"As an analytics and reporting guru, your job will be to leverage and design new analytics tools and dashboards to identify new trends, white spaces, and other...",Sales Analyst,Other
304,RAND,United States,Not available,"Working in multi-disciplinary teams, RAND Project Analysts apply project management and quantitative analytic skills to help projects collect data, analyze data...",Quantitative Analyst,Other
306,goPuff,"Philadelphia, PA",Not available,"As a member of the Business Analytics team, the Forecasting Analyst will report to the Manager of Operational Forecasting....",Forecasting Analyst,Other
323,VIRTUA,"Marlton, NJ",Not available,"5+ years in business analysis, strategic consumer analytics, health data analysis, database design, and database mining....",Consumer Insights Strategist - Marketing,Other
331,Deloitte,"Gilbert, AZ",Not available,"Bachelor’s (Masters preferred) in STEM, Analytics, Information Technology, or equivalent and 3 to 5 years of applied data management / analytics experience....",Supply Chain Management – Solution Specialist – Product Anal...,Other
340,Adidas,"Wilkes-Barre, PA",Not available,"Distribution, Logistics, Order Fulfillment, Performance Management, Analytics, Customer Service and Purchasing....",DISTRIBUTION FORECAST ANALYST,Other
344,Express Scripts,"Franklin Lakes, NJ 07417",Not available,"Strong understanding of client analytics, financials, and value trade offs. The Senior Pricing Analyst role will be responsible for all pricing activities in...",Senior Pricing Analyst,Other
355,Cognizant,"Teaneck, NJ",Not available,Analytics and comfort with numbers. The Corporate Development Team at Cognizant plays a pivotal role in driving the growth and vision for Cognizant long term...,Financial Analyst - M&A Deal Sourcing,Other
358,Wayfair,"Boston, MA 02116 (South End area)",Not available,Working on our team is a premier opportunity to build your career in business and data analytics. The B2B Insights & Analytics team is responsible for...,B2B Insights Analyst,Other
359,Bristol-Myers Squibb,"Princeton, NJ 08540",Not available,Supports the functional objectives of Clinical Trial Analytics:. Supports global site selection through the creation and deployment of analytics and metrics...,Forecasting Analyst,Other
363,William & Mary,"Williamsburg, VA",Not available,"Candidates should have a terminal degree in information systems, operations management, industrial engineering, operations research, business analytics, or...",Clinical Senior Assistant/Associate Professor of Business An...,Other
373,Google,"Mountain View, CA",Not available,"You will use analytics to solve day-to-day operational problems, build mathematical models to improve operational and business planning, and act as a subject...","Forecasting Analyst, Hardware Customer Care",Other
416,Accenture,"Philadelphia, PA 19103",Not available,"Leveraging digital technologies such as automation, artificial intelligence, Internet of Things, analytics and cloud, in combination with a fundamental redesign...",Informatics Analyst,Other
433,ExxonMobil,"Clinton, NJ",Not available,"In addition, experience with risk management, legislative and regulatory process, public health, data analytics, and/or biostatistics is an advantage....",Exposure Scientist,Other
436,TripAdvisor,"Las Vegas, NV",Not available,"Real Time Analyst The Real Time Analyst is responsible for the real-time monitoring of all queues and skill sets, making adjustments to call allocations...",Real Time Analyst,Other
455,ESPN,"Bristol, CT",Not available,"Knowledge of uses and trends in sports analytics, including the use and application of player tracking data....",Statistics Analyst II,Other
464,JP Morgan Chase,"Wilmington, DE 19801",Not available,The Field Strategy Data Analytics Business Analysis Associate:. Provide robust analytics moving the business forward with data driven decisions....,"Merchant Services - Associate, Business Analysis - Field Str...",Other
466,Stryker,"Mahwah, NJ",Not available,Analytic problem solvers that look at the details of an event and come up will innovative and detailed process solution. Who we want....,Senior CAPA Analyst,Other
470,Deloitte,"Parsippany, NJ",Not available,Strong analytic and data visualization skills. Apply analytic and visualization tools to assess the impact of varying design and decision solutions....,Organization Design Consultant,Other
494,Deloitte,"Parsippany, NJ",Not available,"Flexible Consumption Senior Consultant – Strategy & Analytics Tech Strategy. Our practitioners work collaboratively within integrated, cross-functional teams to...","Senior Consultant - Flexible Consumption, Strategy & Analyti...",Other
544,Unilever,"Englewood Cliffs, NJ",Not available,Ability to communicate analytic results both as a high-level overview or a detailed deep dive to our business partners and executive decision makers....,ECommerce Operational Excellence Analyst,Other
553,Medtronic,"New Haven, CT",Not available,"With in-depth knowledge and understanding of company products, pricing programs, and market trends, the individual will help to establish tactical pricing...",Pricing Strategy Analyst,Other
558,PepsiCo,"Purchase, NY",Not available,"Serve as the analytics point-person on projects, applying logical and creative thinking to drive to fact-based insights. Auto req ID:....",Strategy Sr. Analyst,Other
581,IQVIA,"Wayne, NJ",Not available,"Formed through the merger of IMS Health and Quintiles, IQVIA offers a broad range of solutions that harness advances in healthcare information, technology,...",Data Operations Associate,Other
583,Humana,"Waterside, PA",Not available,Prior experience working in a system analytics and/or data warehousing environment. The Data and Reporting Professional 1 generates ad hoc reports and regular...,Data and Reporting Professional 1,Other
600,NBCUniversal,"New York, NY",Not available,"Focus on translating data and analytics into actionable insights. Build and develop a team of industry leading change agents focused on thought leadership, best...","Vice President, Insights & Measurement",Other
609,Moog Inc.,"East Aurora, NY 14052",Not available,"Advanced degree preferred (e.g., predictive analytics, statistics, applied mathematics, science or engineering, etc.)....",Forecast Analyst | Commercial Aircraft Market,Other
623,Columbia University,"New York, NY 10027 (Hamilton Heights area)",Not available,This course teaches students how to effectively present data analytics by developing and delivering a compelling narrative that has been tailored a with a...,"Adjunct Lecturer, Storytelling with Data (ONLINE, Fall'19)",Other
627,Hilton Corporate,"McLean, VA",Not available,"Hilton’s Commercial Services organization is comprised of a global team, responsible for driving our sales, revenue management, distribution and analytics...","Analyst, Commercial Strategy",Other
634,Bed Bath & Beyond,"Union, NJ 07083",Not available,"Gather and synthesize data from other analytics teams including:. Category Analysts are responsible for providing Merchant Teams the analytics, data and...",Category Analyst,Other
637,NBCUniversal,"New York, NY",Not available,"Strategic thinker with a deep interest in sports, media, analytics, business, and finance. Support Senior Director and VP of Ad Sales Insights & Measurement in...","Analyst, Ad Sales Insights & Measurement, NBC Sports Group &...",Other
643,JP Morgan Chase,"Jersey City, NJ 07310 (Downtown area)",Not available,"The primary responsibility of this role is to perform data analytics on the JPMorgan Chase U.S. Minimum 3 years in corporate benefits, benefits consulting or...","Benefits Data Analysis & Reporting, VP",Other
653,WALGREENS,"Chicago, IL",Not available,"Bachelor’s Degree and at least 1 year of experience in promotions, marketing, retail, analytics, pricing, consumer packaged goods, insights, vendor...","Senior Analyst, Value Insights",Other
654,UnitedHealth Group,California,Not available,Proficiency in performing data analytics. Some people take things as they come....,Healthcare Economics Analyst,Other
671,Stryker,"Mahwah, NJ",Not available,"Our teams have established initiatives in revenue management, sales performance management, and cloud-based analytics to push the frontier of data research....",Sales Operations Rotational Program - Associate Analyst,Other
672,American Express,"New York, NY",Not available,Ability to build relationships with cross-functional teams by influencing decisions with sound logic and analytics....,Mgr-Data Science,Other
684,Google,"Redwood City, CA 94063",Not available,"The Business Strategy & Operations organization provides business critical insights using analytics, ensures cross functional alignment of goals and execution,...","Product Insights Analyst, Google Marketing Solutions",Other
688,Central Intelligence Agency,"Washington, DC","$78,496 - $94,939 a year","Opportunities exist for foreign and domestic travel, language training, analytic and management training and assignments to other offices in the Agency and...","Science, Technology, and Weapons Analyst",Other
709,Intel,"Hillsboro, OR 97124",Not available,"Market intelligence, data analytics, data science or market research. Are you a curious individual, passionate about delivering valuable market analysis and...",Market Intelligence Analyst,Other
710,University of Maryland,"College Park, MD 20740",Not available,"Excellent analytic skills, including knowledge of study design, research methodology and statistical analysis....",Statistical Analyst,Other
735,Uber,"New York, NY 10001 (Chelsea area)",Not available,"Mine data and analytics at the customer level to gain a better understanding of their usage behaviors and help Eats get close and personal with our customers,...",Marketing Data Strategist - Uber Eats (Eaters),Other
737,American Greetings,"Westlake, OH 44145",Not available,"Analytics team within the Papyrus – Recycled Greetings Division at our world headquarters in Westlake, Ohio....",Statistical Analyst I,Other
771,Google,"Redwood City, CA 94063",Not available,"4 years of analytical work experience in marketing and sales, management consulting, or in a business operations and analytics environment....","Strategy and Operations Analyst, Google Marketing Solutions",Other
774,Allstate,"Chicago, IL 60290 (Loop area)",Not available,The Consultant works closely with their Analytics Manager to support business goals. Support will be provided for the Consultant to pursue the CAS or Certified...,Experienced Quantitative Analyst - Insurance Modeling (Remot...,Other
782,UnitedHealth Group,"Philadelphia, PA",Not available,3+ years of strategic consulting experience and/or analytic product management/ownership experience. Demonstrated experience consulting on business and...,BusinessInsights ACE Visualization/SQL Reporting Engineer,Other
794,Toast,"Boston, MA 02115 (Fenway-Kenmore area)",Not available,2-4 years of analytics experience at a payment processing company or in a Big 4 accounting firm or FP&A in a high growth tech company....,Payments Intelligence Analyst,Other
