RegionName,State,Metro,CountyName,SizeRank,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11
New York,NY,New York-Newark-Jersey City,Queens County,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.941176471,3.066666667,3.12375,3.083333333,3.140829015,3.214285714,3.2,3.229705882,3.25,3.129356493,3.045320593,3.05625,3.037777778,3,2.9375,2.940294118,3,3.125,3.125,3.070598241,3.06122449,3.066666667,2.944444444,3
Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,2,,1.57208589,1.698754247,1.743264659,1.803101569,1.876959248,1.960784314,1.84057971,1.8351214,1.825650768,1.838934686,1.834061191,1.833333333,1.789379475,1.816970511,1.877234803,1.892857143,1.863354037,1.829166667,1.818181818,1.786906561,1.788133428,1.776228394,1.813636364,1.89292543,1.90506993,1.897555158,1.911973004,1.9,1.906593407,1.906218145,1.935483871,1.922392554,1.843860816,1.825624543,1.857142857,1.85515873,1.940298507,1.927777778,1.975778547,1.923076923,1.941298925,1.944853042,2.025072324,2.008608321,1.927860697,2.022272727,2,1.995454545,2,2.06185567,2.108784556,2.142857143,2.151975684,2.177272727,2.195,2.178494386,2.19047619,2.205263158,2.24375,2.246041667,2.253302253,2.299145299,2.305828705,2.325470124,2.352248157,2.371134021,2.395216548,2.389654516,2.395,2.352459016,2.439281454,2.458033573,2.469758065,2.486917399,2.458333333,2.5,2.443809524,2.464705882,2.562858261,2.425,2.413793103,2.386367295,2.454042175,2.549545455,2.6,2.590652699,2.587962963,2.613307373,2.61889881,2.63834398,2.644052863,2.631318137,2.615070856,2.638593381,2.640588443,2.638888889,2.65858209,2.682478959,2.741836735,2.8,2.788808664,2.843137255,2.801724138,2.84522003,2.866242038
Chicago,IL,Chicago-Naperville-Elgin,Cook County,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.805555556,1.785714286,1.804878049,1.829896907,1.828571429,1.781876026,1.768181818,1.736421053,1.71875,1.739130435,1.722803928,1.737864078,1.758371041,1.777777778,1.798670819,1.79921028,1.772727273,1.785714286,1.794,1.827272727,1.855653569,1.875,1.857142857,1.895,1.909090909,1.927710843,1.916666667,1.945,1.947368421,2,2.0625,2,1.944444444
Houston,TX,Houston-The Woodlands-Sugar Land,Harris County,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.264,1.168043903,1.324146982,1.1861521,1.112191473,1.165714286,1.223628692,1.207856331,1.206216635,1.194396168,1.251169304,1.280956447,1.208152313,1.219025815,1.214154759,1.217814958,1.217982731,1.266645308,1.262646909,1.264755481,1.279069767,1.267350634,1.260523891,1.259567883,1.443600868,1.412639405,1.427953267,1.372118551,1.409090909,1.388888889,1.365546218,1.361851825,1.322252979,1.259360731,1.317730196,1.229959514,1.219488189,1.202932099,1.24122807,1.287808642,1.284246575,1.310672647,1.32,1.30576488,1.298960139,1.301570723,1.321770453,1.338639653,1.343957304,1.339965398,1.317655413,1.365398421,1.368402481,1.386681748,1.391111111,1.385927505,1.371212121,1.378122308,1.352998066,1.337325761,1.33361204
San Antonio,TX,San Antonio-New Braunfels,Bexar County,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.888843795,0.910478128,0.918918919,0.914362177,0.917210977,0.914670063,0.930924184,0.949171271,0.956435644,0.947368421,0.96875,0.973178699,0.969269372,0.960749331,0.973789896,0.956566701,0.966298669,0.962241169,0.972475979,0.96875,0.953289733,0.954356846,0.965909091,0.962627407,0.982488704,0.98247012,0.996161562,0.998023715,1.014427412,1.017255546,1.029895353,1.029778404,1.02416181,1.055579689,1.051006089,1.048016731,1.05655556,1.079884504,1.073626374,1.058178679,1.088888889,1.080753806,1.087061669,1.112201961,1.053370787,1.088793227,1.036392405,1.091998974,1.071115974,1.07770311,1.104231166,1.132930514,1.132930514,1.116202577,1.1075,1.111943556,1.106747231,1.09194073,1.101434426,1.104589114,1.160385627,1.159376424,1.151219512,1.167475823,1.166666667,1.18236212,1.193774319,1.172668793,1.171875,1.191577209
Philadelphia,PA,Philadelphia-Camden-Wilmington,Philadelphia County,6,,,,,,,1.683841608,1.396113946,1.41015649,1.365501779,1.288244767,1.342666667,1.35199241,1.3528521,1.274509804,1.327116212,1.295620438,1.363636364,1.348132056,1.325547022,1.329166667,1.336881058,1.451905626,1.451905626,1.5,1.53256705,1.563786008,1.589456869,1.573751004,1.5,1.33919981,1.329890969,1.268076584,1.272363636,1.294343241,1.333333333,1.333333333,1.365588067,1.401371571,1.407606755,1.363636364,1.333333333,1.339285714,1.453744493,1.407703191,1.388888889,1.306178404,1.303571429,1.25,1.2864494,1.300813008,1.388888889,1.463414634,1.419753086,1.399,1.359758308,1.363636364,1.358173077,1.321428571,1.318181818,1.359090909,1.414141414,1.481042654,1.496062992,1.473495277,1.450138122,1.428571429,1.4,1.4125,1.453055142,1.398478562,1.458333333,1.5,1.519551472,1.542948038,1.613321799,1.588235294,1.603206413,1.519047619,1.481704692,1.55,1.519047619,1.508278599,1.5,1.585643722,1.646284102,1.655555556,1.666666667,1.65,1.642857143,1.675,1.666666667,1.625,1.610275689,1.592548077,1.603646916,1.625,1.687404822,1.731185481,1.789772727,1.771428571,1.772222222,1.772222222,1.726342711,1.708333333,1.674641148
Phoenix,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,7,,,,,,,,,0.802434825,0.769230769,0.770547945,0.742835596,0.738575983,0.761965812,0.775340502,0.777777778,0.798130073,0.795194508,0.783121597,0.787795993,0.77778137,0.767858278,0.766799895,0.755102041,0.762820513,0.789193629,0.790039063,0.787253983,0.792134831,0.792626728,0.808302512,0.792682927,0.794117647,0.805998126,0.783505155,0.794534413,0.801469368,0.815925543,0.820770202,0.804081633,0.797685346,0.805912441,0.8,0.825471698,0.811132595,0.791940019,0.7997998,0.803147873,0.802403846,0.807343757,0.815306122,0.837628866,0.860335196,0.857841274,0.849282297,0.84232715,0.862160472,0.862976407,0.873440285,0.882352941,0.899319168,0.907883082,0.909586683,0.909586683,0.915831843,0.925,0.940203217,0.9375,0.940298469,0.973884657,0.985714286,0.989061076,0.995710024,1.04323913,1.033825661,1.044021739,1.067907996,1.025219298,1.003478261,1,0.985773543,0.98,0.98024948,1.034895314,1.097516099,1.169948187,1.224252492,1.177777778,1.159047619,1.161131863,1.137974684,1.125,1.106666667,1.077962578,1.076623377,1.081165541,1.124733475,1.14496648,1.156398104,1.148501106,1.170168067,1.163654618,1.18697479,1.16075845,1.182975096,1.18556701
Las Vegas,NV,Las Vegas-Henderson-Paradise,Clark County,8,0.859893758,0.859893758,0.84182931,0.84182931,0.85026738,0.851006819,0.862143873,0.794285714,0.800240674,0.776736924,0.752508361,0.780405494,0.768933539,0.759320052,0.786492553,0.792910448,0.781819836,0.781027104,0.78125,0.777873812,0.771604938,0.756551141,0.758818704,0.753271523,0.760551742,0.759878419,0.755939525,0.754665765,0.756938604,0.759001757,0.744416873,0.751085458,0.752164502,0.761078998,0.755208333,0.755208333,0.758744612,0.764040833,0.768049155,0.767096734,0.763736264,0.773809524,0.776412041,0.771276596,0.766871166,0.766283618,0.765931373,0.765861606,0.767501784,0.767148014,0.772015656,0.785455096,0.783475783,0.78369906,0.790307677,0.78928047,0.792805326,0.794392523,0.798491748,0.798398742,0.80591553,0.812780269,0.819088319,0.825369244,0.83154321,0.845165127,0.845771144,0.828920788,0.835988754,0.858369099,0.889432485,0.866987921,0.879414098,0.906295918,0.9,0.9,0.912280365,0.883534137,0.884543762,0.901644529,0.896226415,0.906356962,0.894538606,0.930851064,0.933152216,0.955160895,0.961538462,0.972796518,0.969679843,0.969642857,0.972596684,0.973333333,0.971428571,0.977114525,0.993236715,1.008583691,1.025390625,1.040759515,1.053180723,1.061913696,1.078125,1.095890411,1.107933579,1.10952805,1.106237817,1.09375
San Diego,CA,San Diego-Carlsbad,San Diego County,9,2.559423545,2.376554692,2.364581759,2.350570853,2.06895141,2.151753175,2.114197005,2.160004918,2.120471412,1.946049243,2.021846847,1.725845411,1.774483378,1.773566569,1.784116331,1.741573034,1.726094159,1.715770385,1.744186047,1.764705882,1.693548387,1.678947368,1.691358025,1.699790795,1.71115348,1.714123007,1.690373834,1.691176471,1.743979144,1.741293532,1.708357142,1.720779221,1.712624875,1.700949367,1.689754683,1.695,1.731707317,1.742773368,1.736263736,1.739684579,1.765046296,1.785714286,1.793849658,1.895509499,1.866081229,1.8,1.887755102,1.886792453,1.870748299,1.881377551,1.904761905,1.945422535,1.986281094,1.991150442,1.966292135,1.961604096,1.995,2.010810811,2.000922509,2.005962521,2.020750988,2.016984487,2.0256917,2.015732547,2.063628547,2.076190476,2.117972661,2.12311154,2.113980113,2.132478632,2.124591503,2.125,2.137026239,2.151847825,2.158084059,2.138863001,2.108753316,2.161508704,2.152993446,2.195060976,2.123345963,2.085529603,2.094474153,2.132145899,2.170203629,2.211659765,2.232059646,2.277777778,2.295,2.310293959,2.313953488,2.291666667,2.26744186,2.242681775,2.221363575,2.222222222,2.254363205,2.294286357,2.381057176,2.40661133,2.438349917,2.421116453,2.4291939,2.436350651,2.446349324,2.46875
Dallas,TX,Dallas-Fort Worth-Arlington,Dallas County,10,,,,,,,,,1.110890302,1.155520724,1.201996795,1.137440758,1.026490066,1.023147782,0.996677741,0.989010989,1.029571281,1.040743604,1.020495303,1,1,1.022214455,1.114285714,1.041666667,0.982644047,1.052188739,0.990776957,1.091743119,1.139410188,1.148065903,1.123680937,1.159793814,1.168224299,1.179005525,1.190550595,1.22654454,1.212361251,1.234027626,1.227272727,1.236542835,1.265023384,1.262504992,1.202046399,1.241666667,1.206244087,1.210712199,1.21102791,1.232332155,1.239338235,1.216666667,1.284920635,1.305284675,1.287762309,1.272084806,1.25,1.234567901,1.251564456,1.315789474,1.244201867,1.175115207,1.241052632,1.24679014,1.30988024,1.31235752,1.312208154,1.325043765,1.321784059,1.336104513,1.317382637,1.351454189,1.348544084,1.395386297,1.397314883,1.396012083,1.399112039,1.428065242,1.427230047,1.403940887,1.360199418,1.413255361,1.434884737,1.383907426,1.361940299,1.44381492,1.434514332,1.481684982,1.50462963,1.515320146,1.526771654,1.522497704,1.538221694,1.5,1.492844365,1.50620155,1.516713092,1.508359076,1.551193226,1.526979678,1.540909091,1.555555556,1.558654635,1.555555556,1.581395349,1.542435424,1.581437671,1.55210643
