Title,Summary,Company,Location,Salary
Data Analyst,"Conduct ad hoc data analysis and data quality investigations. As a data analyst, you will provide data-driven insights via ad-hoc analyses, automated reports...","Teachstone Training, LLC.","Charlottesville, VA 22902",Not available
"People Analyst, Reporting and Insights","Experience using data visualization (e.g., tables, charts, graphs); Manipulate and analyze large data sets to distill insights from data and connect disparate...",Google,"Boulder, CO 80302",Not available
Business Intelligence Junior Data Analyst,"Analyze data for data quality and validity issues. As a direct report to the Business Intelligence Manager (BIM), the Business Intelligence Junior Data Analyst...",PeoplesBank,"Holyoke, MA 01040",Not available
Business Analyst- Pharma,The roles and responsibilities also include to mentor and develop others Data Scientists especially a small group of analysts to support you....,BirlaSoft,"Edison, NJ",Not available
Data Analyst I,"Drive data accessibility, accuracy and quality by partnering with our Data and Technology groups. We are looking for a data analyst, who will be instrumental in...",Grubhub,"Chicago, IL 60602 (Loop area)",Not available
Data Analyst,The Data Analyst will be part of the Data Science & Analytics team within our Product Marketing department. We are looking for a Data Analyst â€” a hybrid â€œdata...,Teltech Systems,"South Amboy, NJ",Not available
2019 Data Scientist Intern - Global Analytics,"Experience in analytics, decision, and/or data sciences. This intern will support Data Science initiatives within Global Analytics....",Merck USA,"Kenilworth, NJ",Not available
Data Analyst,"If you have project-based experience as a Business Analyst, Financial Analyst, Data Mining Analyst or an Analytics Engineer this could be your opportunity....",Hodge,"Dubuque, IA 52002",Not available
Data Analyst,"UVA Temps is recruiting for highly organized, detail oriented, and professional persons to fill a temporary Data Analyst role....",University of Virginia,"Charlottesville, VA",$24 - $35 an hour
Real Time Analyst,"Real Time Analyst. The Real Time Analyst is also responsible for tracking attrition, absenteeism, and unproductive hours....",TripAdvisor,"Las Vegas, NV",Not available
DATA ANALYST,"Understands data analysis concepts (data architecture, data profiling, data quality governance). Upto 2 yearâ€™s Experience as a Data Analyst....",Primesoft Consulting,"Piscataway, NJ",Not available
Data Analyst,"Use business intelligence, data visualization, query, analytic and statistical software to build solutions, perform analysis and interpret data....",UnitedHealth Group,"Indianapolis, IN 46262",Not available
Data Analyst,The Data Analyst will possess strong analytical capabilities. The Data Analyst position will help manage and support client accounts....,"FiberTel, Inc.","Springville, UT 84663",Not available
Business Analyst,"Innate curiosity about processes, data, systems and user functionality. 14 West, an Agora Company, is looking for a Software Business Analyst to work within a...",14 West,"Baltimore, MD 21201 (Downtown area)",Not available
Metrics Analyst,"$55 - $65 an hour                            Must have 5 years Analyst Experience. Experience in working with large volumes of data in spreadsheets/databases, tracking data, building dashboards, charts,...",Energy Services Group International,"New Orleans, LA",$55 - $65 an hour
Material Information Analyst Intern (6 Month Internship - La...,Proactively manage Material Master Data and exercise responsibility over Global Materials Library data. You should be an attentive listener and have enthusiasm...,New Balance,"Lawrence, MA",Not available
Jr. Data Analyst/ Data Scientist,"Junior Data Analyst/ Scientist (Big Data & Analytics)*. We are looking for a Junior Data Analyst/ Scientist with good understanding of statistics, data mining...",Karwell Technologiies Inc,"South Plainfield, NJ",Not available
Business Intelligence Analyst,Prepare data analysis and forecasts and help automate data collection. Minimum of 3 yearsâ€™ professional experience in data analysis in an e-commerce company....,Hallmark,"Santa Monica, CA 90403",Not available
Intern - Data Quality Analyst,ADM is a professional service corporation providing energy efficiency program evaluation and research for utilities and other clients across North America....,"ADM Associates, Inc.","Sacramento, CA 95827",$15 an hour
Data Scientist Internship - Summer 2019,"They draw upon the practice of data analysis, using predictive analytics, data mining, pattern recognition, data modeling, machine learning and various...",IBM,United States,Not available
Data Analyst I,"The position is responsible for assisting with the client database system (ETO) and research efforts through data entry, data maintenance and cleaning, data...","House of Ruth Maryland, Inc.","Baltimore, MD 21218 (Midway-Coldstream area)",Not available
Data Analyst,"Provide day-to-day operational support for business processes driven by data, including curation and management of data across several teams....",NIKE INC,"Portland, OR",Not available
Clinical Data Analyst,"Support studies when needed, including all Clinical Data Manager tasks. Program (primarily in SQL or SAS) and test study Data Transfers, generally based on...",Idols,"East Brunswick, NJ",Not available
Healthcare Data Analyst,Healthcare Data Analyst Responsibilities:. Healthcare Data Analysts are quantitative specialists who understand the business needs of a practice and how to use...,Cleveland Data Analytics Firm,"Independence, OH",Not available
Healthcare Data Analyst,Proven experience as a Healthcare Data Analyst. Healthcare Data Analysis:. Knowledge of Enterprise Data Warehouse (EDW) and data management systems preferred....,TML MultiState IEBP,"Austin, TX 78754",Not available
Parts Inventory Analyst,"This position requires heavy analysis of data and proposal of solutions to management. Individual should possess strong analytical, quantitative and qualitative...",Fabick Cat,"Fenton, MO 63026",Not available
Senior Business Intelligence Analyst,"Knowledge of relational database administration, data consumption, and advanced data analysis. Ability to lead data exploration with key stakeholders to draw...",Children's Hospital & Medical Center - Omaha,"Omaha, NE",Not available
CPIC Analyst,"$90,000 - $108,000 a year                            Experience in data analysis and report design/development. Anticipated period of performance for the support will be date of award through February 28, 2019,...","Energy Services Group International, Inc.","Washington, DC","$90,000 - $108,000 a year"
Data Analyst,"As a Data Analyst at Eaze, you'll report to the Director of Analytics. Contribute to our data pipeline, building core reporting tables and infrastructure....",Eaze,"San Francisco, CA",Not available
Data Analyst,"Audit reports created by other Data Analysts. The Data Analyst engages in quality control activities through the review of select reports, data files, and...",SPH Analytics,"Duluth, GA",Not available
Data Analyst,"1 year previous data analysis and reporting experience; Under the general direction of the Express Lanes Supervisor, the Express Lanes Data Analyst, is an...",Faneuil,"San Francisco, CA","$78,000 a year"
Data Analyst,V Strong Data Analyst or DBA (No Exception). Data Analyst/Database Designer Job Description. V Create and update data flow diagrams....,Futuralis Tech,"Monterey, CA",Not available
Healthcare Data Analyst I,"Strong data analysis, data presentation, spreadsheet, and database capabilities. Under the direction of the Pharmaceutical Services Management team, the...",Inland Empire Health Plan,"Rancho Cucamonga, CA","$69,284 - $107,411 a year"
Entry-Level Sales Planning Analyst,You will be required to work through customer portals to retrieve data and cross reference information with internal systems to ensure data accuracy for future...,"Franco Manufacturing Co., Inc.","Metuchen, NJ 08840",Not available
Business Analyst/ Data Analyst/ Quality Analyst,Our company is actively looking for candidates who are skilled in Quality Analyst/Business Analyst/Data Analyst /System Analyst / Java as we have a lot of...,Concept Technology,"Bridgewater, NJ","$50,000 - $60,000 a year"
Junior Data Scientist,"Support senior team members in the aggregation and preparation of large data sets, integrating multiple systems and historical data....",UnitedHealth Group,"Santa Ana, CA 92725",Not available
Sr. Health Data Analyst,This Senior Health Data Analyst is responsible for supporting population health management and value-based care initiatives by applying extensive knowledge of...,UC Davis Health,"Sacramento, CA 95820","$5,917 - $12,733 a month"
Data Analyst,"As a Data Analyst at Ascensus, you will conduct data analysis to support data scientist studies through a broad spectrum of data mining responsibilities such as...",Ascensus,"Dresher, PA 19025",Not available
Credit Analyst,"$72,520 - $137,180 a year                            Common essential functions of all credit analyst positions include, but are not limited to:. May direct or coordinate the work of others (Credit Operations Team...",Farm Credit Services of America,"Omaha, NE","$72,520 - $137,180 a year"
Analyst - GCI Analytics - University Students,"You will be given high levels of responsibility from the start, including interfacing directly with clients to support their use of the data in our benchmarks,...",McKinsey & Company,"Atlanta, GA 30318 (Rockdale area)",Not available
