Title,Summary,Company,Location,Salary
Senior Operations Analyst,"3-5 years of experience working with supply chain operations and data analytics. Reporting directly to the Director of Data Analytics & Compliance, the...","National Retail Systems, Inc.","Hasbrouck Heights, NJ 07604",Not available
ADVANCED ANALYTICAL DEVELOPER - ENTERPRISE ANALYTICS,This position will help build out infrastructure for analytics related to kidney disease by building analysis-ready data marts and clinically informed analytic...,UNC Health Care,"Morrisville, NC 27560",Not available
Marketing,"Demonstrable experience in marketing data analytics and tools. Solid computer skills, including MS Office, marketing software (Adobe Creative Suite & CRM) and...",Oakland Spine & Physical Therapy,"Oakland, NJ 07436",Not available
Customer Service Representative (RPK),"AST is a full-service, tech-enabled professional services firm that helps companies and shareholders across North America maintain momentum through the use of...",AST,"Ridgefield Park, NJ",Not available
Assoc.Director- Data and Analytics,"Associate Director, Data and Analytics. Lead analytics programs that focus on innovation and digital transformations using emerging big data, data science,...",Cognizant,"Teaneck, NJ",Not available
"Senior Analyst, Business Analytics","Reporting to the Senior Manager, Analytics, this position will assist with the transformation of Analytics capability within the US Region Commercial Operations...",Becton Dickinson & Company,"Franklin Lakes, NJ 07417",Not available
"Senior Manager, Information & Analytics","Senior Data and Analytics Manager. Owns the prioritization of the I&A analytics strategy, including landing of existing analytic products (including change...",Unilever,"Englewood Cliffs, NJ",Not available
"Associate Director, Data and Analytics","Associate Director, Data and Analytics. Lead analytics programs that focus on innovation and digital transformations using emerging big data, data science,...",Cognizant,"Teaneck, NJ",Not available
"Associate Manager, Sales Analytics","Analytics – Responsible for the team’s ongoing innovation, creation, support and communication of analytics to customers (i.e....",Stryker,"Mahwah, NJ",Not available
"Associate Director, Data Analytics and Client Partnerships T...","The Angeletti Group (TAG) seeks a self-motivated, reliable, and detail-oriented associate to join our dynamic and growing team of fund development...",Association of Fundraising Professionals (AFP),New Jersey,Not available
DIR BUSINESS ANALYTICS,Lead market research projects and prepare and/or supervise forecasting and secondary data analyses to support New Products in development and Licensing and...,Johnson & Johnson Family of Companies,"Titusville, NJ",Not available
Senior Manager Data Analytics,"Data Access methodologies for Sales Analytics; Lead new Commercial Foundational Data product/process teams to develop, lead and support new data set designs,...",Johnson & Johnson Family of Companies,"Somerville, NJ",Not available
Data Analyst,"The Data Analysts' key responsibility is to support the Community Education Department and Bariatric Program with accurate, complete, and timely data entry to...",Holy Name Medical Center,"Teaneck, NJ",Not available
"Business Analyst (FT, 40 hours)","GeneDx is seeking a Business Analyst (FT, 40 hours) to work at the Elmwood Park, NJ location Monday through Friday 8:30 a.m. to 5:00 p.m. GeneDx is a rapidly...","Bio-Reference Laboratories, Inc.","Elmwood Park, NJ 07407",Not available
Data Analytics Consultant,"Risk and Care Analytics. Bachelor's degree Business Analytics, Health Economics or similar program. Commercial Analytics"" area is comprised of the below three...",Florida Blue,"Jacksonville, FL 32224 (Beach Haven area)",Not available
"Analytics & Profitability Consultant- Norcross, GA","Exceptional analytic skills, data mining and quantitative techniques. Financial background that can turn analytics into actionable insights....",Office Depot OfficeMax,"Norcross, GA 30092",Not available
2019 Market Data Analyst,"Bloomberg runs on data and technology. In Global Data, we're responsible for on-boarding, analyzing, applying and supplying it to help answer our clients'...",Bloomberg,"Princeton, NJ 08544",Not available
"Manager, Analytics",Lead the IT resources within the Data & Analytics (D&A) team focused on Analytics activities. Work on our Big Data/integration strategy enabling Data &...,Ralph Lauren,"Lyndhurst, NJ 07071",Not available
Enterprise Advanced Analytics Associate,"Provides advanced analytics, on-boarding and training to the regional analytics team members whenever needed....",Johnson & Johnson Family of Companies,"New Brunswick, NJ",Not available
"Predictive Analytics, Analyst","As Predictive Analytics, Analyst in the Advanced Analytic Services team, you will work as a consultant on marketing projects for our largest customers....",Dun & Bradstreet,"Short Hills, NJ 07078",Not available
