Title,Summary,Company,Location,Salary
Business Intelligence Analyst,Business Intelligence Analyst. The position of Business Intelligence Analyst will require someone who enjoys brainstorming and collaborating with the different...,Trinity Logistics,"Seaford, DE 19973",Not available
Commercial Contract Operations Analyst,Experience in ERP (SAP) and reporting (Business Intelligence) systems . Coordinate dispute information with Chargeback Analyst and Distributor partners as...,TechData Service Company LLC.,"Franklin Lakes, NJ",Not available
Business Intelligence Analyst,CSS has an opportunity for an energetic self-starter Business Intelligence Analyst to join the fast paced CSS Business Intelligence team....,Common Securitization Solutions,"Bethesda, MD",Not available
Business Intelligence Analyst 1,"The Business Intelligence (BI) Analyst role identifies business intelligence, reporting, and data analysis needs....",eXcell,"Redmond, WA 98052",Not available
Legal Intelligence Analyst,LookingGlass Cyber Solutions has an immediate opening for a motivated Legal Intelligence Analyst to join LookingGlass’ world-class Global Security &...,LookingGlass Cyber Solutions,"Reston, VA 20191",Not available
Business Intelligence Analyst,Project management or business analyst experience driving out requirements and true needs of business partners....,MedPro Group,"Fort Wayne, IN",Not available
Business Intelligence Analyst,"Carey School of Business has an incredible opportunity for a Business Intelligence Analyst to use their analysis of education, market, and student trends, in...",Arizona State University,"Tempe, AZ","$54,000 - $85,000 a year"
Data Analyst,"The Data Analysts' key responsibility is to support the Community Education Department and Bariatric Program with accurate, complete, and timely data entry to...",Holy Name Medical Center,"Teaneck, NJ",Not available
Intelligence Analyst,"I2 Analyst Notebook; In this position, the intelligence analyst is responsible for providing CSU with investigative, analytical, and data manipulation support....",New York District Attorney's Office,"New York, NY",Not available
Business Intelligence Analyst - Jersey City,Our recently established Business Intelligence department has an opening for an analyst position reporting to the VP of Business Intelligence....,"World Business Lenders, LLC","Jersey City, NJ 07302 (Downtown area)",Not available
Country Analyst,"Audible - an Amazon company and perpetual innovator – is looking for a data-driven, detail-oriented Country Business Analyst for our business in Canada....",Amazon.com,"Newark, NJ",Not available
Security Intelligence Analyst,"Working in collaboration with other Intelligence and Security teams, the Intelligence Analyst (IA) is tasked with maintaining situational awareness of potential...",The Madison Square Garden Company,"New York, NY 10121 (Chelsea area)",Not available
