Title,Summary,Company,Location,Salary
Acquisition Data Analyst,"$72,000 - $80,000 a year


                            The candidate shall summarize data to streamline report processes, as well as possess the capability to shrink data into a workable format as requested....",Confidential Contracting Company,"Quantico, VA","$72,000 - $80,000 a year"
Data Analyst,"Perform status tracking, efficiency analysis, resource allocation, data analysis, change log management, and overall process management support....",CEF Solutions Inc.,"Fort Lee, NJ 07024",Not available
Marketing Data Analyst,"Collect, maintain, manage, interpret and analyze data received from internal and external data sources. The Marketing Data Analyst is primarily responsible for...","SHEEX, Inc","Marlton, NJ 08053",Not available
Business Intelligence Analyst,Business Intelligence Analyst. Data Modelling/Data Warehousing/Data Structures. Calling all analytical minds with a thirst for data and a programming skill set...,Trinity Logistics,"Seaford, DE 19973",Not available
Data Analyst,"The Data Analysts' key responsibility is to support the Community Education Department and Bariatric Program with accurate, complete, and timely data entry to...",Holy Name Medical Center,"Teaneck, NJ",Not available
Entry Level Business Analyst,Analyze large sets of data and report findings to the team. We are looking for Recent Graduates for Entry Level Business Analyst Position....,Rootliquids,"Jersey City, NJ","$68,000 - $72,000 a year"
Healthcare Data Analyst Coligo Care,Healthcare Data Analyst Coligo Care. The Healthcare Data Analyst (value based) supports the business analytical needs of Clinically Integrated Network by...,"Valley Health System of Ridgewood, NJ","Paramus, NJ 07653",Not available
Junior Reporting Analyst- Operations,The analyst will be responsible for data gathering as well as reporting and analysis. Identify data trends for all operational categories....,Bed Bath & Beyond,"Totowa, NJ 07512",Not available
Data Reporting Analyst,Saddle Brook NJ Posted 1 month ago Responsibilities: Create and publish sector research content including monthly reports. Review all contracts and analyze...,Tillman Infrastructure,"Saddle Brook, NJ",Not available
Data Science Analyst,LCD is looking for a business-facing Data Science Analyst that will help us discover the insights hidden in company data....,Thermo Fisher Scientific,"Fair Lawn, NJ 07410",Not available
Database Analyst,The person should also have worked with Data Lake technologies and have a good understanding of Azure Data Lake as a data store. Data Engineer - Azure Paas....,Ace Technologies,"Montvale, NJ",Not available
Data Information Analyst,"Integrates data from multiple sources to produce requested or required data elements. Establishes and maintains report forms and formats, information dashboards...",Apple,"Santa Clara Valley, CA",Not available
"Analyst, Integrated Data and Reporting","Deep understanding in data relations, data standardization and analytics as it relates to Medical Device Capital and Consumables products and services....",Becton Dickinson & Company,"Franklin Lakes, NJ 07417",Not available
Data Analyst,"Generate statistical data analysis reports, using various statistical data analysis software in order to build dashboards and visualizations, advising senior...",Darn Tough Vermont / Cabot Hosiery Mills,"Northfield, VT",Not available
Data Analyst,Other Data and Metrics as applicable. Data can include but is not limited to:. Analyzes billing and coding data and creates high-level reports to identify...,Alteon Health,"Germantown, MD",Not available
Data & Reporting Analyst,"Proven working experience as a Data & Reporting Analyst. Filter and “clean” data, and review trends of bad data to identify problems with data capture, design...",Vatica Health Inc,"Alpharetta, GA",Not available
Data Analyst,"$50,000 a year


Analyst collects data from higher education institutions, in particular engineering schools. Merges data from databases, spreadsheets to display into other...",American Society for Engineering Education (ASEE),"Washington, DC 20036 (Downtown area)","$50,000 a year"
Data Analyst,"Experienced as a Data Analyst or Data Scientist, preferably at a D2C brand with a high volume of complex data for 2-4 years....",ProSight Specialty Insurance,"Morristown, NJ",Not available
Entry level business data analyst,"Create and maintain documentation relating to data management including training guides, report specifications, and data dictionaries....",ASTA CRS,"New York, NY","$52,000 a year"
Data Analyst,"The Data Analyst will:. Aggregate views of data sources into meaningful hierarchies. 0-2 years of experience in analysis, information science, data...",Delta Air Lines,"Atlanta, GA",Not available
Metadata Analyst,"The Metadata Analyst, Central Repertoire and Metadata Support Group responsibilities may include, but will not be limited to:....",Sony Music Entertainment,"Rutherford, NJ",Not available
SENIOR ANALYST - DATA & ANALYTICS,"Work with analysts in the teams and stake holders across organization to gather requirements, analyse/clean data, ensure data integrity and assist the Sr....",Adidas,"Portland, OR",Not available
Data Analyst,"Provide day-to-day operational support for business processes driven by data, including curation and management of data across several teams....",NIKE INC,"Portland, OR",Not available
Variable Data Analyst,The Variable Data Analyst is responsible for the ongoing process of entering and updating data from multiple sources across clients to ensure all data is...,ClickPay,"Hackensack, NJ 07601",Not available
"Senior Data Analyst, Artist Insights","We are currently seeking a Data Analyst to run complex queries and analysis on UMG’s commercial and sales data, as well as other data sources, to support Artist...",Universal Music Group,"New York, NY 10019 (Midtown area)",Not available
C&ORC Data Strategy Analyst,"Eager to learn about Data Governance tools, lineage, data quality controls and data dictionaries. An understanding of data management, data governance and...",UBS,"Jersey City, NJ 07310 (Downtown area)",Not available
"Junior Project Manager, Analyst","Discover your opportunity with Mitsubishi UFJ Financial Group (MUFG), the 5th largest financial group in the world (as ranked by S&P Global, April 2018) with...",MUFG,"Jersey City, NJ",Not available
Data Analyst,Formulate hypotheses and design data analytics schema. 3+ years of relevant analytical experience working with data....,NHN Global,"Los Angeles, CA 90010",Not available
Category Analyst,Input promotion data into GSBN for forecast and promotions managers. Analyze sellout data and compare against previous forecasts – investigate out-of-stocks....,Samsung Electronics,"Ridgefield Park, NJ",Not available
American Express Campus Undergraduate – Data Analytics Full-...,American Express Campus Undergraduate – Data Analytics. Strong analytical skills and demonstrated knowledge of data extraction and analysis techniques using...,American Express,United States,Not available
IS PMO Analyst Intern,"University project experience working with data. Ability to understand, analyze and report on financial data. Strong attention to detail and organization skills...",Stryker,"Allendale, NJ 07401",Not available
Data Analyst,"Cognizant is looking for Data Analyst with the following qualifications:. 13NF data modelingPL3Desired. Develop and implement databases, data collection systems...",Cognizant,"Hoboken, NJ",Not available
Real Time Analyst,"Real Time Analyst. The Real Time Analyst is also responsible for tracking attrition, absenteeism, and unproductive hours....",TripAdvisor,"Las Vegas, NV",Not available
Business Intelligence Analyst,"Carey School of Business has an incredible opportunity for a Business Intelligence Analyst to use their analysis of education, market, and student trends, in...",Arizona State University,"Tempe, AZ","$54,000 - $85,000 a year"
Pricing Analyst,The Pricing Analyst will also provide pricing support for all ad hoc analyses (i.e. The Pricing Analyst will develop client-specific pricing strategies with...,Express Scripts,"Franklin Lakes, NJ 07417",Not available
Data Analyst,"Strong data analytical and critical thinking skills. Protecting contact centers against internal and external threat actors from data exfiltration, social...",Verizon,"Basking Ridge, NJ 07920",Not available
Reporting Data Analyst,"5+ years of relevant experience in a business analyst, data analyst or statistical analysis role. Provide recommendations through data retrieval and analysis....",Amazon.com,"Seattle, WA",Not available
Data Analytics Associate,Experience in analyzing large and complex data sets. You will see the challenges and opportunities of building a company through technology and data and use...,First Help Financial,"Newton, MA",Not available
"Analyst, Database Insight","Strong analytical skills, with an emphasis on effectively visualizing data. Microsoft Power BI, SQL, SAS, Data Modeling, SSRS experience highly desirable....",Combined Jewish Philanthropies,"Boston, MA 02110 (Central area)",Not available
Business Intelligence Analyst,"$70,000 - $80,000 a year


                            BUSINESS INTELLIGENCE ANALYST:. Collects data from multiple sources and uses technology to provide complex data analysis....",WHO Staffing,"Baltimore, MD","$70,000 - $80,000 a year"
Data Analyst-HEDIS & Star,Data Analyst – HEDIS & Medicare Star. Documents data collection processes with other teams in Healthcare Informatics to transition data collection from one team...,SCAN Health Plan,"Long Beach, CA 90806",Not available
Complaint Trends and Insights Analyst,"The analyst will identify complaint drivers using data captured in complaint records and data pertinent to customer accounts, relationships, product ownership,...",JP Morgan Chase,"Wilmington, DE 19801",Not available
"financial analyst, Data Management - Seattle, WA","Maintains a library of financial reports, backup data and documentation. May administer financial database, including user access control, system enhancements...",Starbucks,"Seattle, WA 98134 (Industrial Complex area)",Not available
Entry-Level Real Time Analyst,"Strong written and verbal communication skills, including data presentation. Work closely with Scheduling and Forecasting Analysts providing real-time trending...",Wayfair,"Horseheads, NY",Not available
Data Analyst,5+ years of data analyst experience. Experience with data root cause analysis and cross functional resolution of data issues....,UBS,"Weehawken, NJ",Not available
Sales Analyst,Unilever is looking for a Sales Operations Analyst to leverage identify and unlock opportunities for growth through data driven insights....,Unilever,"Englewood Cliffs, NJ",Not available
Data Analyst,"Use business intelligence, data visualization, query, analytic and statistical software to build solutions, perform analysis and interpret data....",UnitedHealth Group,"Indianapolis, IN 46262",Not available
Customer Analytics Analyst (Temporary Position),The Analyst will be responsibile for executing 1-2 projects under strategic guidance of Analytics leadership. Organized with strong attention to detail....,Tiffany & Co.,"New York, NY 10261 (Murray Hill area)",Not available
Data and Reporting Analyst,We are seeking a Data & Reporting Analysts nationwide. Conduct large-scale data analysis and modeling to derive actionable insights....,Accenture,United States,Not available
Data Reporting Analyst,"Minimum of 3 years of experience with programming, data management, and/or building analytics reports and visualizations using a variety of tools....",The Port Authority of New York and New Jersey,"Jersey City, NJ 07302 (Downtown area)",Not available
Metrics Analyst,"$55 - $65 an hour


                            Must have 5 years Analyst Experience. Experience in working with large volumes of data in spreadsheets/databases, tracking data, building dashboards, charts,...",Energy Services Group International,"New Orleans, LA",$55 - $65 an hour
Business Intelligence Junior Data Analyst,"Analyze data for data quality and validity issues. As a direct report to the Business Intelligence Manager (BIM), the Business Intelligence Junior Data Analyst...",PeoplesBank,"Holyoke, MA 01040",Not available
2019 Data Scientist Intern - Global Analytics,"Experience in analytics, decision, and/or data sciences. This intern will support Data Science initiatives within Global Analytics....",Merck USA,"Kenilworth, NJ",Not available
Analyst - GCI Analytics - University Students,"You will be given high levels of responsibility from the start, including interfacing directly with clients to support their use of the data in our benchmarks,...",McKinsey & Company,"Atlanta, GA 30318 (Rockdale area)",Not available
"Predictive Analytics, Analyst",Candidates with less than 3 years’ experience will be considered for an Analyst role. Experience in data manipulation using SQL....,Dun & Bradstreet,"Short Hills, NJ 07078",Not available
Data Analyst,"Ascent Resources is seeking an experienced Data Analyst. The Data Analyst reviews, interprets, and processes various Land-related functions including processing...",Ascent Resources,"Oklahoma City, OK",Not available
Healthcare Data Analyst,"Medical, Database, Epidemiology, Public Health, Data Analyst, Healthcare, Technology, Data. The data analyst is passionate about healthcare delivery in a...",Children's Hospital of Philadelphia,"Philadelphia, PA 19104 (Belmont area)",Not available
Data Analyst,"Perform status tracking, efficiency analysis, resource allocation, data analysis, change log management, and overall process management support....",CEF Solutions Inc.,"Fort Lee, NJ 07024",Not available
Markdown Analyst,"Markdown Analysts are responsible for providing Merchant Teams the analytics, data and information necessary to drive optimal inventory clearance....",Bed Bath & Beyond,"Union, NJ 07083",Not available
Data Analyst,Data analysts work with large amounts of data:. Data analysts need math skills to estimate numerical data....,Konica Minolta,"Ramsey, NJ",Not available
Financial Analyst,Knowledge of procedural controls and data validation techniques. Analyzes current and past financial data and performance to make recommendations on profit...,Promotion In Motion,"Allendale, NJ 07401",Not available
Data Analyst,Proven working experience as a data analyst or business data analyst; Vanguard is currently seeking an experienced Data Analyst who will assist in the day to...,"Vanguard Utility Service, Inc.","Owensboro, KY 42301",Not available
Financial Data Analyst Paid Internship,"Modify and troubleshoot existing VBA scripts to enhance data automation and improve data accuracy. At Merrick Bank, we specialize in credit programs that assist...",Merrick Bank,"South Jordan, UT 84095",Not available
Data Quality Analyst I,Monitors compliance of data flows against Enterprise Data and Analytics data quality standards. Executes Enterprise Data and Analytics data quality tests...,USAA,"Phoenix, AZ 85003 (Central City area)",Not available
Data Analyst,"Experience as a data analyst utilizing technical expertise regarding data models, data mining and segmentation techniques....",MirLogic Solutions Corporation,"Springfield, VA",Not available
Financial Analyst,"The Financial Analyst will also compile, analyze, and present data to clients. The Financial Analyst works closely with the Manager– Financial Analysis to...",Express Scripts,"Franklin Lakes, NJ 07417",Not available
Data Visualization Analyst,This includes the opportunity to learn complex data design and data visualization skills. Function - Data and Analytics....,Equifax,"Atlanta, GA 30309 (Midtown area)",Not available
Associate Data Analyst,"Associate Data Analyst(Job Number:. The general responsibilities of the Associate Data Analyst is to collect, maintain, manage, integrate, analyze, and...",HCA Corporate,"Nashville, TN",Not available
Data Integrity Analyst,Data Integrity Analyst. Assist the Distribution Centers in resolving data integrity issues on an ongoing basis....,Family Dollar,"Chesapeake, VA",Not available
Data Analyst - Entry Level,"Analyze and manage data using SAS, R, SQL and other statistical programming languages as required. The role of Analytics team is to design innovative analytic...",Cobbs Creek Healthcare LLC,"Newtown Square, PA",Not available
"Data Insight Analyst, People Analytics",Experience developing and designing data visualizations. We are looking for a Data Insight Analyst to join the Northrop Grumman Human Capital Analytics team...,Northrop Grumman,"Falls Church, VA 22041",Not available
Data Management Analyst,Implements data stewardship and other relevant data accountability structures across business and technology organizations to ensure data is effectively managed...,SunTrust,"Atlanta, GA 30328",Not available
ASSISTANT MASTER DATA ANALYST,"The Assistant Master Data Analyst will maintain master data objects assigned to them, including responding to requests....",Tory Burch,"Jersey City, NJ 07310 (Downtown area)",Not available
Country Analyst,"Partner with stakeholders to leverage data (internal data from Audible & Amazon, as well as external data from market research and marketing agencies) and...",Amazon.com,"Newark, NJ",Not available
CPIC Analyst,"$90,000 - $108,000 a year


                            Experience in data analysis and report design/development. Anticipated period of performance for the support will be date of award through February 28, 2019,...","Energy Services Group International, Inc.","Washington, DC","$90,000 - $108,000 a year"
Data Analyst,Data Analyst Job Duties. 3+ years of working experience as a data analyst or business data analyst. Acquire data from primary or secondary data sources and...,Philips,"Andover, MA",Not available
