Title,Summary,Company,Location,Salary
Data Engineer,"Requires in-depth technical expertise regarding data models, data analysis and design, master data management, metadata management, data warehousing, business...",Beacon Health System,"South Bend, IN 46601",Not available
Data Engineer,"Possessing a business understanding of the underlying data. Develop databases functions, scripts, stored procedures, etc. to collect, process and present data....","Foresight Intelligence, Inc.","Scottsdale, AZ",Not available
Associate Data Engineer,Desire candidates with prior Data Analysis and/or Data Engineer competencies. Leverage data mining and Business Intelligence tools to analyze large amounts of...,The Hartford,"Hartford, CT",Not available
Data Integration Engineer,"The Data Integration Engineer is responsible for the data flow, integration, management, documentation, and support of data IO between enterprise business...","SoClean, Inc.","Peterborough, NH",Not available
Data Integration Engineer,"This includes paper data sheets, Excel spreadsheets, Yokagowa data and data entered into LIMS. The Data Integration Engineer is responsible to bring the many...",The Gill Corporation-Maryland,"Edgewood, MD 21040",Not available
Data Engineer Biotech and Pharmaceutical,"$100,000 - $127,500 a year


                            We are looking for someone to be able to build and run enterprise class information management solutions through batch processing, big data, etc....","MasterStaff, Inc.","North Chicago, IL","$100,000 - $127,500 a year"
Full Time opportunities for students & recent graduates: Mic...,"Take responsibility for preparing data for analysis, review data preparation/ETL code and provide critical feedback on issues of data integrity....",Microsoft,"Cambridge, MA 02142 (East Cambridge area)",Not available
Data Center Engineer,The Data Center Engineer will be responsible for all management and maintenance of Virtu's equipment within our designated data centers in the New Jersey area....,Virtu Financial,New Jersey,Not available
Junior Data Engineer,"Junior Data Engineer. Apply statistical models for data quality testing and missing data imputation. Write, optimize, and automate data processing tasks....",Los Angeles Dodgers LLC,"Los Angeles, CA 90012",Not available
Junior Data Engineer,"Fusion is currently seeking an entry-level Data Engineer to join our fast-growing software development team. Tasks will include import and export of data, data...",Fusion Health,"Woodbridge, NJ 07095",Not available
Data Engineer,"The associate IT engineer will service day to day operational engineering requests from product teams, project teams, and operational customers....",Express Scripts,"Franklin Lakes, NJ 07417",Not available
Data Conversion Engineer,"WorkWave is looking for organized, detail-oriented, motivated professionals with strong data analysis skills to work with our clients and Implementation team to...",WorkWave,"Holmdel, NJ",Not available
Data Integrity Engineer,"3-5 years of E2E data cleansing, data architecture, business reporting & evolving deliverables. Linkages to other Data Lakes....",Mondelez International,"East Hanover, NJ 07936",Not available
Drive Tester/ Field Engineer,"This is a field position where the Drive tester will have go the cell site and conduct a test by using Mobile Testing App, the tester will be responsible for...",Amnet Sevices,"Fairfield, NJ",$180 a day
Data Science Engineer,Data engineering experience with large and/or complex data environments. Processing data used for analysis....,Carter McKenzie Inc.,"Jersey City, NJ","$115,000 - $135,000 a year"
Lead Data Engineer,"Retrieve, prepare, and process data via variety of data sources such as social media, news, internal/external documents, emails, financial data, and operational...",Crestron Electronics,"Rockleigh, NJ 07647",Not available
Data Engineer,"As Data Engineer at Potoo, your role is to become an expert at understanding our E-Commerce data. Assist in analyzing business requirements, source systems,...",Potoo Solutions,"Norwalk, CT 06854",Not available
Business Intelligence Data Engineer,Building data wrangling workflows. Knowledge of data warehouse design and usage. Evangelize modern BI execution and tool strategies to create a data driven...,The Hartford,"Hartford, CT",Not available
BackEnd Engineer,"$100,000 - $120,000 a year


                            Back End Engineer:. TRUX is looking for a Back End Engineer to help us expand and improve our back end systems....","TRUX, Inc.","Waltham, MA","$100,000 - $120,000 a year"
Data Collection Engineer-eDiscovery,Data collection/Data mining:. Processing / searching of acquired data. Perform data culling and processing using industry standard software such as Nuix....,Epiq,"New York, NY",Not available
Data Engineer,"*Skills and Experience:   Programming Languages:  Python, SQL  Data Management: * Amazon Redshift, Amazon S3, Apache Hadoop, Apache Hive, Apache Spark,...",Cana Associates,"San Francisco, CA","$150,000 - $175,000 a year"
Associate Data Engineer,"Troubleshoots data integrity issues, analyzes data for completeness to meet business needs, and proposes documented solution recommendations....",UnitedHealth Group,"Las Vegas, NV 89105",Not available
Cloud Data Engineer,We are hiring Cloud Data Engineers Location: NJ/NYC Skills:  Database Concepts  ETL/BI  Testing  AWS Cloud Education:  * Bachelor’s /...,Sollers College,"Edison, NJ 08837","$60,000 a year"
Data Engineer - Big Data,Responsibilities: Apprentice includes students working at hp who are enrolled in apprenticeship programs in association with their university. Typically used...,HP,"Corvallis, OR 97330",Not available
Big Data Engineer Intern,Desire to learn and grow as a Data Engineer. Collaborate with data scientists to design and develop processes to further business unit and company-wide data...,Grubhub,"New York, NY",Not available
Data science engineer Entry level,O multiple data formats:. Feature Engineering with large data sets. O large data stores > 50 GB. Data wrangling and setting up production ready system....,Nexeon,"Houston, TX",Not available
"Intern - IT, Data Engineer & Visualization",Utilize reporting tools to create reports and interpret data. Experience with Big Data is a big plus....,Levi Strauss & Co.,"San Francisco, CA 94111 (Financial District area)",Not available
Data Scientist/Machine Engineer,"Data Scientist/Data Analyst/ Data Engineer:. Outlier detection and ways to remove outliers, identify biasness in the data and how to get rid of biasness in the...",Telecommunication,"Basking Ridge, NJ","$150,000 - $200,000 a year"
Data Engineer,"Lead Data Engineer- posting*. 5+ years as a Data Engineer, ETL engineer or Software Engineer. As Data Engineer on our engineering team, you will be the subject...",W.Eid Resources,"Irvine, CA",Not available
Data Engineer,Build data pipeline frameworks to automate high-volume and real-time data delivery for our Hadoop and research data hub....,Brighthouse Financial,"Charlotte, NC 28277 (Piper Glen Estates area)",Not available
Data Engineer,"Real-time data pipelines, streaming analytics, distributed big data. Across large data sets. Data systems operating at petabytes scale....",Torque Technologies,"Bentonville, AR",Not available
Data Engineer,"You will maintain and create scripts for extracting, transforming, synchronizing and loading data throughout our operational data pipeline and and data...",Catasys,Home Based,Not available
Data Engineer,"Data Engineers work together with data consumers to determine, create, and populate optimal data architectures, structures, and systems....",Central Intelligence Agency,"Washington, DC","$73,052 - $148,967 a year"
Data Engineer,Work with other engineers to enhance data models and improve data query efficiency. 4+ years of related experience as a data engineer....,"Honcker, Inc","New York, NY","$100,000 a year"
"Data Engineer - Portland, Oregon","Ambition Data is seeking a data engineer to join our team. Trust your data - It is easy to get data, but it takes thought, planning and experience to collect...",Ambition Data LLC,"Portland, OR",Not available
Junior Data Engineer,"Knowledge of data warehouse in Big Data space. Experience with Data Warehouse design, ETL (Extraction, Transformation & Load), architecting efficient software...",Verizon,"Atlanta, GA 30319",Not available
Data Engineer,"Interface with other technology teams to extract, transform, and load data from a wide variety of data sources using SQL Manage AWS Resources....",Amazon.com,"Seattle, WA",Not available
Data Engineer,"The Data Engineer will support our developers, database architects, data analysts, and data scientists, and will ensure optimal data delivery architecture is...",The Virtual Forge,"Doylestown, PA",Not available
Junior Level Engineer,Interpret data and results by conducting data analysis using various tools including statistical analysis; This may also include compiling and managing data....,Anchor Env,"Woodcliff Lake, NJ",Not available
Sensor/Data Fusion Engineer,Analysis of system performance (including periodic analysis of data collected from field tests). The candidate’s primary job function will involve contributing...,"Lakota Technical Solutions, Inc.","Columbia, MD 21046",Not available
Data Center Network Engineer (Full Time Employee),"$110,000 - $130,000 a year


Data Center Network Engineer. Component level installation, monitoring and maintenance for data centers; Full Time (GC-EAD, GC, Citizen)....",Xoriant solutions,"Camden, NJ","$110,000 - $130,000 a year"
Senior/Principal Software Engineer,"$130,000 - $180,000 a year


                            DataKitchen is leading the DataOps movement to incorporate Agile Software Development, DevOps, and manufacturing based statistical process control into...",DataKitchen,"Cambridge, MA","$130,000 - $180,000 a year"
Entry Level Big Data Engineer,"Work with domain architects, scrum team architects , product owners, data scientists and big data development / test engineers to bring big data and data...",AT&T,"El Segundo, CA 90245",Not available
Junior Data Engineer,"RAPP Dallas is looking for a Junio Data Engineer. As a junior data engineer, you define solutions for the use, extraction and manipulation of data - driven by...",RAPP,"Dallas, TX",Not available
Data Engineer,"5+ years of work experience in relevant field (Data Engineer, DW Engineer, Software Engineer, etc). Augment data platform with data pipelines from select...",kraken,Remote,Not available
"Data Engineer, Prime Video","As a data engineer in this team, you will solve big data warehousing problems on a massive scale. Big data processing, data warehouse design, and enabling self...",Amazon.com,"Seattle, WA",Not available
Data Engineer,"The ideal candidate should have a background in Computer Science, Data Science, Data Management, or related field, with proven experience in managing large...",Columbia University,"New York, NY",Not available
Data Engineer,"The Data Engineer will support our Information Architect, Data Analysts, and Data Scientists, as well as non-technical colleagues who generate and use the data...",Camden Coalition of Healthcare,"Camden, NJ 08102",Not available
