Title,Summary,Company,Location,Salary
"Associate Scientist, Analytical Data Science","Associate Scientist – Analytical Chemistry and Data Science, R&D*. Create custom data models and algorithms to apply to data sets....",Firmenich Inc.,"Township of Plainsboro, NJ",Not available
Data Scientist,"Strong working knowledge of data mining algorithms including supervised and unsupervised machine learning techniques including random forest, clustering, neural...",SHI International Corporation,"Somerset, NJ 08873",Not available
Speech and Data Scientist,"As a Speech and Data Scientist in the Professional Services group, you will work on automated speech recognition and natural language processing applications,...",Nuance,"Mahwah, NJ",Not available
Data Scientist,"Experience in Data Visualization. Headquartered in Princeton, NJ, Mareana helps companies solve complex data problems with qSuite, our proprietary cognitive...",Mareana Inc.,"Princeton, NJ",Not available
Full-time opportunities for students & recent graduates: Dat...,We are looking for highly motivated and passionate Data Scientists to apply rigorous scientific methodology and algorithms to data in order to improve Microsoft...,Microsoft,United States,Not available
"Data Scientist, Retention","The Data Scientist is a critical position within DSS and in the Data organization who specializes in applying machine learning methods to meet optimization,...",DISNEY,"New York, NY 10036",Not available
Data Scientist (Product),"As a Data Scientist, our mission is to turn terabytes of data into insights and get a deep understanding of how our people use our apps to impact the product,...",Spotify,"New York, NY 10011 (Chelsea area)",Not available
Data Scientist - NJ,Professional experience applying advanced analytics and data mining techniques to enable decision support systems and customer strategies....,Daugherty Business Solutions,"Franklin Lakes, NJ",Not available
"Intern, Machine Learning Engineering","We are looking for individuals who are passionate, creative and committed to creating systems and service solutions that promote better health outcomes....",Express Scripts,"Franklin Lakes, NJ 07417",Not available
Data Science and Machine Learning,"Skill up in machine learning topics, including use of modern techniques in deep learning and natural language processing....",Rho AI,United States,"$80,000 a year"
Data Scientist,"Data Science, Machine Learning, Data Analytics. Data Scientist role to work on model building and feature engineering for client protection AI/ML Projects....",Bank of America,"Jersey City, NJ 07302 (Downtown area)",Not available
Sr. Product Data Scientist,"Employment is subject to verification of pre-screening tests, which may include drug screening, background check, credit check and DMV check....",Unilever,"Englewood Cliffs, NJ",Not available
Watson Health Data Scientist,"Two or more years in a lead role in clinical data management and systems development with a broad understanding of major trends in health data sources, clinical...",IBM,United States,Not available
Data Scientist,"Experience at a large consumer technology company, advanced statistical expertise, big data experience, software engineering experience, a machine learning...",Splitwise,"Providence, RI",Not available
Data Scientist,"Given substantial growth and impact at Crowe, the machine learning team has formed into an official unit, Advanced Data Science (ADS), which is responsible for...",Crowe,"Indianapolis, IN 46240",Not available
Product Development Scientist,"$55,000 - $65,000 a year


                            Maintains an up-to-date technical knowledge of manufacturing processes, competitive products and analytical methods in a broad scientific field....",Nitta Casings Inc.,"Bridgewater, NJ 08807","$55,000 - $65,000 a year"
Data Scientist /Engineer,"Use modeling, machine learning and programming skills to generate insights by leveraging large amounts of health care data....","CGI Group, Inc.","Bloomfield, CT 06002",Not available
Data Scientist V/ Manager,"Business Analytics Certifications preferred especially in Data Mining (SPSS, R etc.). Data Scientist V/Manager....",The Chickasaw Nation,"Ada, OK",Not available
Data Scientist,"Professional experience in data analytics within a business context. You bring an understanding of business research challenges, translate them into analytical...",The Boston Consulting Group,"New York, NY 10022 (Midtown area)",Not available
Deloitte Global- Data Scientist,Train other data scientists in area of expertise. Develop and implement data harvesting best practices and capabilities for data driven insights....,Deloitte,"Glen Mills, PA 19342",Not available
Intern opportunities for students: Data & Applied Sciences,We are looking for highly motivated and passionate Data Scientists to apply rigorous scientific methodology and algorithms to data in order to improve Microsoft...,Microsoft,United States,Not available
Campus Graduate – 2019 Data Scientist / Analytics Manager /...,"Develop and continuously enhance predictive models, strategies, processes, and controls for mitigating credit risk exposure and preventing fraud using advanced...",American Express,United States,Not available
Quantitative Data Scientist,"The Data Scientist role is responsible for designing and implementing analytical tools and predictive models based on that intelligence, creating efficiencies...",Bank of America,"Jersey City, NJ 07302 (Downtown area)",Not available
Data Scientist,"Publications or presentation in recognized Machine Learning, Deep Learning and Data Mining journals/conferences....",Amazon.com,United States,Not available
Full Time opportunities for PhD students and recent graduate...,We are looking for highly motivated and passionate Data Scientists to apply rigorous scientific methodology and algorithms to data in order to improve Microsoft...,Microsoft,United States,Not available
"VP, Data Scientist","Manage teams of data scientists. 5+ years of industry experience in data science or business analytics roles (e.g., marketing analytics, sales analytics,...",JP Morgan Chase,"Wilmington, DE 19801",Not available
Data Scientist,Manages full data portfolio of spend area working with the various spend area data owners ensuring data accuracy and validity....,Mondelez International,"Parsippany, NJ 07054",Not available
Machine Learning Engineer,"$80,000 - $140,000 a year


                            We are looking for three experienced Data Scientists to join our existing ML team in developing and refining a predictive logistics application within the...",Unique Software Development LLC,"Dallas, TX 75206 (M Streets area)","$80,000 - $140,000 a year"
LCAT: Operations Research Analyst,"$103,435 a year


Data Statistics Analyst*. The contractor shall possess the capability to write scripts to retrieve data from a database management system (e.g., SQL Statements)...","GEM Technology, Inc.","Edgewood, MD","$103,435 a year"
"Associate, Data Scientist",Talk to clients to understand the problem they want to solve and the available data (mostly text data). Deliver solutions at the end of the project and describe...,JP Morgan Chase,"New York, NY 10179 (Midtown area)",Not available
"Data Scientist, Machine Learning","As a Data Scientist on the team, you will apply your strong background in ML, statistics and data engineering to devise new ways to combine machine and human...",Amazon.com,"Seattle, WA",Not available
Data Scientist (entry level),"At least 1 year of hands-on experience working on machine learning project involving high-volume data. Business case definition, data engineering (collection,...",DrivenBI LLC,"Pasadena, CA 91101","$70,000 - $90,000 a year"
Data & Applied Scientist,"Experience in SQL, R, Python to implement statistical models, machine learning, and analysis (Prediction, Classification, Clustering, time series forecasting,...",Microsoft,"Redmond, WA",Not available
Data Scientist,"As part of the Advanced Analytics team, you will be part of a group that offers everything from BI/insights to client portals/self-service to Market Research to...",Blue Rock Consulting,"Whippany, NJ","$100,000 a year"
Speech and Data Scientist,"As a Speech and Data Scientist in the Professional Services group, you will work on automated speech recognition and natural language processing applications,...",Nuance,"Mahwah, NJ",Not available
MACHINE LEARNING AND DATA ANALYTICS RESEARCHER,You have a deep understanding of the mathematical and statistical foundations of machine learning. You are endlessly curious about machine learning and are...,Andrew Davidson & Co,United States,Not available
"Data Scientist, Analytics",The Data Scientist Analytics role has work across the following four areas:. We’re looking for Data Scientists to work on our core and business products...,Facebook,"New York, NY 10017 (Midtown area)",Not available
"Data Scientist, Analytics",You are an expert in SQL and have some experience with an analytical programming language like R or Python. As the technological hub between lenders and capital...,dv01,New York State,Not available
Principal Data Scientist I,"Alternatively, the principle data scientist may have little or no scientific expertise in that particular domain but bring an extremely advanced set of skills...",Roche,"San Jose, CA",Not available
Senior Data Scientist,"Well versed in areas such as applied statistics, machine learning, data mining and data algorithms. Provide technical leadership in statistical analysis, data...",Hagerty,"Traverse City, MI",Not available
Senior Data Scientist,"Hands-on experience with statistical analysis and data mining tools, such as R, Python, Scala, etc. Deep knowledge and experience in statistical and machine...",Autonomous Pharmacy,"Mountain View, CA",Not available
Junior Level Scientist,"A competitive salary, bonus program, and excellent benefits, including health insurance (medical, dental, vision, and long-term disability);...",Anchor Env,"Woodcliff Lake, NJ",Not available
Data Scientist,"Work with management and organizational peers to improve business results, by applying machine learning to ongoing business activities, and develop...",Conde Nast,"New York, NY 10007 (Financial District area)",Not available
"Associate Scientist, Analytical Data Science","Associate Scientist – Analytical Chemistry and Data Science, R&D*. Create custom data models and algorithms to apply to data sets....",Firmenich Inc.,"Township of Plainsboro, NJ",Not available
Machine Learning Data Scientist,"Knowledge of quantitative methods - statistics, machine learning, deep learning, NLP, general data analysis....",Wayfair,"Boston, MA 02116 (South End area)",Not available
Associate Data Scientist,At least 1 year relevant work experience working in Python or R with a primary focus of applying predictive analytics to large data sets (i.e....,Brown-Forman,"Louisville, KY 40216",Not available
Data Scientist,"Answer complex business questions by using appropriate statistical or machine learning techniques on available data, or designing and running experiments to...",Mondo,"New York, NY",Not available
"Senior Manager, Information & Analytics","The I&A In-Market team is composed of business interpreters, data scientists, and data experts who can:. This is an exciting new role in the Data Science and...",Unilever,"Englewood Cliffs, NJ",Not available
Data Scientist - Entry,"Data Scientists combine technical skills, teamwork, communication, business logic, and software knowledge to extract meaningful information from the company’s...",Equifax,"Las Vegas, NV 89119",Not available
Delivery Data Scientist,"The Microsoft Services Americas Data and Artificial Intelligence business is looking for Architects / Data Scientists with Data/Advanced Analytics, Artificial...",Microsoft,United States,Not available
Signal processing and data scientist,"$120,000 - $150,000 a year


                            SIGNAL PROCESSING AND DATA SCIENTIST. In Engineering, Physics, Computational biology, Mathematics, Statistics, or related field required with 2+ years of direct...",GraphWear Technologies Inc.,"San Francisco, CA 94107 (South Of Market area)","$120,000 - $150,000 a year"
Data Scientist,"The Data Scientist is responsible for applying advanced analytics to provide accurate, relevant, and actionable insights that enable Verra Mobility to make...",Verra Mobility,"Mesa, AZ",Not available
Junior Data Scientist,"So when it comes to how we use the world's large accumulation of health-related information, or guide health and lifestyle choices or manage pharmacy benefits...",UnitedHealth Group,"Santa Ana, CA 92725",Not available
DBHi Data Scientist I,"The Data Coordinating Center’s focus is on developing informatics methods to standardize health data from diverse sources, and make intelligent use of the data...",Children's Hospital of Philadelphia,"Philadelphia, PA 19146 (Point Breeze area)",Not available
Data Scientist,"MS/ PhD in fields like computer science, mathematics, statistics, machine learning, operations research, data mining, AI....",Microsoft,"Redmond, WA",Not available
Data Scientist Internship - Summer 2019,"They draw upon the practice of data analysis, using predictive analytics, data mining, pattern recognition, data modeling, machine learning and various...",IBM,United States,Not available
"Internship – R&D Data Scientist Graduate Intern (Maplewood,...","Experience in machine learning, deep learning, data science, computer vision, artificial intelligence, statistics, and/or applied mathematics....",3M,"Maplewood, MN",Not available
Data Scientist (Informatics Service Operations),The Cigna Service Operations Business Intelligence & Analytics (SOBI&A) organization offers solutions that provide actionable insights to internal and external...,Cigna,United States,Not available
Data Scientist,"Responsibilities-Work with stakeholders, identifying opportunities for leveraging data to solve for business challenges.-Identify valuable data sources / data...",Morgan Stanley,"New York, NY",Not available
Junior Data Scientist,"The development and execution of new machine learning predictive modeling algorithms, the coding\development of tools that use machine learning/predictive...",Allstate,"Charlotte, NC",Not available
"data analyst, Supply Chain (AI and Machine Learning), SSC –...","Working cross-functionally with other data scientists, statisticians, and business experts, this role is responsible for building mathematical and statistical...",Starbucks,"Seattle, WA",Not available
Associate Data Scientist,Associate Data Scientist. Establish strong knowledge of Customer Experience in the Health Care industry and Florida Blue available tools/Platforms to define...,Florida Blue,"Jacksonville, FL 32224 (Beach Haven area)",Not available
Research Analyst/Institutional Trader,Conducts analysis and research of investment products available to Financial advisors. The Reserach Analyst/Trader will handle the day to day portfolio...,Lincoln Investment,"Fort Washington, PA",Not available
Data Scientists,"$80,000 - $100,000 a year


                            SQL, Spark, R, Python, GitHub. 6+ years of industry work experience in data scientist projects. Analysis of large amounts of historical data, determining...",Intellibee Inc,"San Jose, CA","$80,000 - $100,000 a year"
Imaging Scientist I - Nuclear Medicine,Invicro seeks an individual with scientific or clinical imaging experience to manage various imaging studies....,Invicro,"Boston, MA 02210 (South Boston area)",Not available
"HBO Data Scientist, Content Science","The Data Scientist will work closely with engineering teams to ensure that their products and insights are properly moved into a production environment, where...",Time Warner,"New York, NY",Not available
Data Scientist - Summer Intern - University Students,"You will perform statistical data analyses, data mining and optimizations using multiple tools and techniques to get insights from large complex data sets....",McKinsey & Company,"Boston, MA",Not available
Data Scientist,"Apply machine learning and data mining techniques to extract actionable insights from large-scale, high-dimensional data....",DICK'S Sporting Goods,"Coraopolis, PA 15108",Not available
Quantitative Data Analyst - Minerva,"Minerva Analytics, the latest team to emerge from Cogo's proven incubator model, is seeking a Data Analyst to join our team....",Cogo Labs,"Cambridge, MA",Not available
Data Scientist - AWS Professional Services,"Publications or presentation in recognized Machine Learning, Deep Learning and Data Mining journals/conferences....",Amazon.com,United States,Not available
Data Analyst,Experienced with applying statistics and machine learning research and techniques to real-world data. Data visualization experience....,ProSight Specialty Insurance,"Morristown, NJ",Not available
Data Scientist - AWS Professional Services Oil & Gas,"Publications or presentation in recognized Machine Learning, Deep Learning and Data Mining journals/conferences....",Amazon.com,"Houston, TX",Not available
Data Scientist - Associate Director (#1 of 2),"Formulate integrated analytical approach to mine data sources, employ statistical methods and machine learning algorithms to discover actionable insights and...",Novartis,"East Hanover, NJ",Not available
"Data Scientist, Engineering","4 years of relevant work experience (e.g., as a statistician / computational biologist / bioinformatician / data scientist), including deep expertise and...",Google,"New York, NY 10011 (Chelsea area)",Not available
Machine Learning Data Scientist (TS/SCI w/Poly),"Coverent is seeing a Senior Data Scientist to conduct hands-on work to drive machine learning in a group of subject matter experts, software engineers, and data...",Coverent,"McLean, VA",Not available
"Venture Manager, Innovation - Solaria Labs","$115,000 - $157,500 a year


                            Lead cross-functional teams of developers, designers, and data scientists to test and launch new business ventures....",Liberty Mutual,"Boston, MA 02116 (South End area)","$115,000 - $157,500 a year"
Data Scientist Senior - Quantitative Analytics,"Qualifying coursework may include-but is not limited to-data science, statistics, machine learning, optimization, numerical analysis, scientific programming,...",Freddie Mac,"McLean, VA 22102",Not available
Associate Scientist - Intermediate Synthesis Scale-Up Suppor...,"Optional benefits include health, dental, and a retirement savings plan. Data and information collection from batch execution....","Spectrix Analytical Services, LLC","New Brunswick, NJ",Not available
Data Scientist - Entry to Experienced Level,"Applying the scientific process to data evaluation, performing statistical inference, and data mining. As a member of a technical mission office or the DSDP,...",National Security Agency,"Fort Meade, MD","$96,970 - $148,967 a year"
Director Data Scientist,Work with other data scientists with a broad range of analytical expertise and subject matter experts to deliver data products and provide business insights...,Hearst Business Media Admin,"New York, NY",Not available
AI Chief Data Scientist - PS12747,"AI Chief Data Scientist. At Anthem, Inc., it’s a powerful combination, and the foundation upon which we’re creating greater access to care for our members,...","Anthem, Inc.",United States,Not available
Data Scientist,3+ years experience in SQL as well as transforming data into insights with visualization tools like Tableau or Plotly....,American Eagle Outfitters,"Pittsburgh, PA",Not available
"Data Scientist Associate, Workforce Analytics","S/he will collaborate with HR Technology, Workforce Analytics Data Engineering, and other subject matter experts to build robust data pipelines, and will play a...",JP Morgan Chase,"Newark, DE 19713",Not available
Data Scientist - Intern/Coop,"Working experience in Cognos Analytics, Watson Analytics, Tableau, NOSQL Cloudant db, Java, JavaScript, SQL, NOSQL;...",IBM,United States,Not available
Data Scientist,"Apply SQL, data cleaning, visualization and clustering techniques to gain insight into and munge data sets for use in modeling....",ConnectiveRx,"Township of Randolph, NJ",Not available
Informatics Data Scientist,The Cigna Service Operations Business Intelligence & Analytics (SOBI&A) organization offers solutions that provide actionable insights to internal and external...,Cigna,"Bloomfield, CT 06002",Not available
Lead Data Scientist,"The Lead Data Scientist uses mathematics, statistics, modeling, business analysis, and technology to transform high volumes of complex data into advanced...",Humana,"Louisville, KY 40229",Not available
Statistical Analyst I,"Medpace is a scientifically-driven, global, full-service clinical contract research organization (CRO) providing Phase I-IV clinical development services to the...",Medpace,"Cincinnati, OH 45212 (Pleasant Ridge area)",Not available
Development Scientist I,"This position offers opportunities to develop novel reagents, engage with customers, attend scientific conferences and learn from technically-and commercially...","New England Biolabs, Inc.","Ipswich, MA 01938",Not available
Data Scientist (TS/SCI w/Poly),"On this project, you’ll have the opportunity to demonstrate your intellectual agility by leading data collection and data analysis activities to produce key...",Coverent,"McLean, VA",Not available
Data Scientist,"Identify new machine learning and advanced analytics methodologies based on available data sets, and implement dynamic models/algorithms....",General Dynamics Mission Systems,"Chantilly, VA",Not available
"Statistical Research Programmer, Level 1","Ability to program using SAS, R, Python, or Stata for data management and analysis. Programmers are expected to acquire a basic understanding of the research...",RAND,United States,Not available
Lead Data Scientist - Procurement,"As a data scientist, you will work with business stakeholders to gather goals and outline requirements, translate into technical designs, coordinate with...",Unilever,"Englewood Cliffs, NJ",Not available
Junior Data Scientist,"Perform deep data analysis of large data sets to identify data patterns, trends and opportunities. Experience using statistical programming languages, machine...",COCC,"Southington, CT",Not available
Lead Data Scientist,"The Lead Data Scientist uses mathematics, statistics, modeling, business analysis, and technology to transform high volumes of complex data into advanced...",Humana,"Louisville, KY 40229",Not available
"Data Scientist, People Analytics","Collaborate with the People Analytics Team, and their Data Scientists, Data Engineers and Data Viz Engineers to deploy and validate outputs....",WeWork,"New York, NY 10013 (Tribeca area)",Not available
Data Scientist,"Data Scientists are responsible for developing advanced analytics using a variety of statistical modeling and machine learning methods, algorithms and...",JP Morgan Chase,"Columbus, OH 43240 (Far North area)",Not available
