Title,Summary,Company,Location,Salary
Statistician,"*Responsibilities:   conduct team meetings, maintaining project timelines, assessing resources needed, providing resources, and preparing the budget. *...","DataTEK, Inc.","Fairfax, VA",Not available
Quantitative Research Analyst or Developer,"$90,000 - $250,000 a year


                            Founded by a statistician and a computer scientist, our approach is systematic and diversified. At Quant Hedge Fund (Un-Disclosed), we’re different from other...",INEVITABLE ENTERPRISE's Client,"Stamford, CT","$90,000 - $250,000 a year"
"ONS Foundation, Research Lab Director","D. expertise in statistical analysis a plus, but ONSF has access to statisticians. ONSF - Research Lab Director:....",ORTHOPAEDIC & NEUROSURGERY SPECIALISTS P.C.,"Greenwich, CT 06831",Not available
Manufacturing Production Analyst / Statistician,Manufacturing Production Analyst / Statistician*. The Manufacturing Production Analyst / Statistician will report directly to the Production Manager and...,PRESIDENT CONTAINER GROUP,"Middletown, NY",Not available
Biostatistician,Trains and mentors junior statisticians. Acts as a lead statistician for projects. At least 7 years of experience for MS and 3+ years for Ph.D working in the...,Brightech International,"Somerset, NJ 08873",Not available
Statistician,"LLC’s Whippany, NJ, office seeks a Statistician. The primary responsibilities of this role, Statistician, are to:. Your tasks and responsibilities....",Bayer,"Whippany, NJ",Not available
Statistician,The Statistician will:. SPARC is seeking a Statistician to provide general support to medical affairs. Sun Pharma Advanced Research Company (SPARC) is a...,"Sun Pharmaceutical Industries, Inc.","Princeton, NJ",Not available
Data Science Statistian,The Data Science Statistician is responsible for statistical analytic efforts of for research and/or funded program activities. B.S....,Holy Name Medical Center,"Teaneck, NJ",Not available
Statistician I,Instruction/Remarks : Interested and qualified applicants should signify their interest in writing. Attach the following documents to the application letter...,Civil Service Commission,"San Jose, CA","$17,152 a month"
"Biostatistician I, Dermatology","Assist Senior Statistician in providing statistical consultation for clinical programs, including but not limited to randomization, sample size assessments,...",IQVIA,"Rochelle Park, NJ",Not available
Lead Statistician,"The primary responsibilities of this role, Lead Statistician, are to:. At least four years of experience as a statistician with significant time spent in the...",Bayer,"Whippany, NJ",Not available
"Director, Biostatistician",Functions as lead statistician in global registration trials and manages all related statistical activities....,Pharma RI,"Woodcliff Lake, NJ",Not available
Project Statistician,"Project Statistician Job Description:  Ferring Pharmaceuticals is a globally recognized, research-driven, biopharmaceutical company with more than 65...","Ferring Pharmaceuticals, Inc.","Parsippany, NJ",Not available
Watson Health - Outcomes Researcher,"Collaborate with subject matter experts and teams of researchers, research leaders, programmers, analysts, and statisticians through the organization to design...",IBM,United States,Not available
Mathematical Statistician - Entry/Mid-Level,"$69,545 - $86,659 a year


                            NSA is actively seeking mathematical statisticians to join a vibrant community of mathematicians, statisticians, physicists, computer scientists, and other...",National Security Agency,"Fort Meade, MD","$69,545 - $86,659 a year"
Statistician,We are actively seeking a Statistician to join our Data Science and Platform Engineering Team. Benson Hill Biosystems empowers innovators to unlock the global...,Benson Hill Biosystems,"St. Louis, MO",Not available
Statistician,Conduct psychometric testing to evaluate new measures and application of existing measures to new populations. Conduct statistical analyses and provide...,American Speech-Language-Hearing Association (ASHA...,"Rockville, MD","$87,657 - $97,396 a year"
FREELANCE STATISTICIAN,We are looking for a freelance statistician with experience in building consumer demand models. US (Various Locations)....,Global Pricing Solutions,United States,Not available
Master's-level Statistician,"Statisticians and other specialists to provide a multi-disciplinary approach to research, analysis, and problem solving....",RAND,United States,Not available
MATHEMATICAL STATISTICIAN,"Duties Summary If you would like to be a part of a Federal organization dedicated to serving our Nation and those who defend it, consider a career with the...",US Department of Defense,"Alexandria, VA","$45,972 - $106,012 a year"
16559,"Assists Senior Statistician in providing statistical consultation for clinical programs, including but not limited to randomization, sample size assessments,...",IQVIA,"Rochelle Park, NJ",Not available
Principal / Senior Biostatistician (Remote 100%),Been a Trial statistician at the study (any phase). Minimum 5+ years working as a clinical trial statistician either directly for a pharmaceutical company or...,GCE Solutions,"Bridgewater, NJ",Not available
Statistician or Pharmacometrician,"Statistician or Pharmacometrician. Cognigen is looking for a Statistician or Pharmacometrician with an interest in modeling, with a specific focus on exposure...","Simulations Plus, Inc.","Buffalo, NY",Not available
Statistician,"*Responsibilities:   conduct team meetings, maintaining project timelines, assessing resources needed, providing resources, and preparing the budget. *...","DataTEK, Inc.","Fairfax, VA",Not available
