,Company,Location,Salary,Summary,Title,Job Category,City,State Code,ZIP,Area
0,"National Retail Systems, Inc.","Hasbrouck Heights, NJ 07604",Not available,"3-5 years of experience working with supply chain operations and data analytics. Reporting directly to the Director of Data Analytics & Compliance, the...",Senior Operations Analyst,Other,Hasbrouck Heights,NJ,07604,
1,UNC Health Care,"Morrisville, NC 27560",Not available,This position will help build out infrastructure for analytics related to kidney disease by building analysis-ready data marts and clinically informed analytic...,ADVANCED ANALYTICAL DEVELOPER - ENTERPRISE ANALYTICS,Analytics,Morrisville,NC,27560,
2,Oakland Spine & Physical Therapy,"Oakland, NJ 07436",Not available,"Demonstrable experience in marketing data analytics and tools. Solid computer skills, including MS Office, marketing software (Adobe Creative Suite & CRM) and...",Marketing,Other,Oakland,NJ,07436,
3,AST,"Ridgefield Park, NJ",Not available,"AST is a full-service, tech-enabled professional services firm that helps companies and shareholders across North America maintain momentum through the use of...",Customer Service Representative (RPK),Other,Ridgefield Park,NJ,,
4,Cognizant,"Teaneck, NJ",Not available,"Associate Director, Data and Analytics. Lead analytics programs that focus on innovation and digital transformations using emerging big data, data science,...",Assoc.Director- Data and Analytics,Analytics,Teaneck,NJ,,
5,Becton Dickinson & Company,"Franklin Lakes, NJ 07417",Not available,"Reporting to the Senior Manager, Analytics, this position will assist with the transformation of Analytics capability within the US Region Commercial Operations...","Senior Analyst, Business Analytics",Analytics,Franklin Lakes,NJ,07417,
6,Unilever,"Englewood Cliffs, NJ",Not available,"Senior Data and Analytics Manager. Owns the prioritization of the I&A analytics strategy, including landing of existing analytic products (including change...","Senior Manager, Information & Analytics",Analytics,Englewood Cliffs,NJ,,
7,Cognizant,"Teaneck, NJ",Not available,"Associate Director, Data and Analytics. Lead analytics programs that focus on innovation and digital transformations using emerging big data, data science,...","Associate Director, Data and Analytics",Analytics,Teaneck,NJ,,
8,Stryker,"Mahwah, NJ",Not available,"Analytics – Responsible for the team’s ongoing innovation, creation, support and communication of analytics to customers (i.e....","Associate Manager, Sales Analytics",Analytics,Mahwah,NJ,,
9,Association of Fundraising Professionals (AFP),New Jersey,Not available,"The Angeletti Group (TAG) seeks a self-motivated, reliable, and detail-oriented associate to join our dynamic and growing team of fund development...","Associate Director, Data Analytics and Client Partnerships T...",Analytics,New Jersey,,,
10,Johnson & Johnson Family of Companies,"Titusville, NJ",Not available,Lead market research projects and prepare and/or supervise forecasting and secondary data analyses to support New Products in development and Licensing and...,DIR BUSINESS ANALYTICS,Analytics,Titusville,NJ,,
11,Johnson & Johnson Family of Companies,"Somerville, NJ",Not available,"Data Access methodologies for Sales Analytics; Lead new Commercial Foundational Data product/process teams to develop, lead and support new data set designs,...",Senior Manager Data Analytics,Analytics,Somerville,NJ,,
12,Holy Name Medical Center,"Teaneck, NJ",Not available,"The Data Analysts' key responsibility is to support the Community Education Department and Bariatric Program with accurate, complete, and timely data entry to...",Data Analyst,Data Analyst,Teaneck,NJ,,
13,"Bio-Reference Laboratories, Inc.","Elmwood Park, NJ 07407",Not available,"GeneDx is seeking a Business Analyst (FT, 40 hours) to work at the Elmwood Park, NJ location Monday through Friday 8:30 a.m. to 5:00 p.m. GeneDx is a rapidly...","Business Analyst (FT, 40 hours)",Business Analyst,Elmwood Park,NJ,07407,
14,Florida Blue,"Jacksonville, FL 32224 (Beach Haven area)",Not available,"Risk and Care Analytics. Bachelor's degree Business Analytics, Health Economics or similar program. Commercial Analytics"" area is comprised of the below three...",Data Analytics Consultant,Analytics,Jacksonville,FL,32224,(Beach Haven area)
15,Office Depot OfficeMax,"Norcross, GA 30092",Not available,"Exceptional analytic skills, data mining and quantitative techniques. Financial background that can turn analytics into actionable insights....","Analytics & Profitability Consultant- Norcross, GA",Analytics,Norcross,GA,30092,
16,Bloomberg,"Princeton, NJ 08544",Not available,"Bloomberg runs on data and technology. In Global Data, we're responsible for on-boarding, analyzing, applying and supplying it to help answer our clients'...",2019 Market Data Analyst,Data Analyst,Princeton,NJ,08544,
17,Ralph Lauren,"Lyndhurst, NJ 07071",Not available,Lead the IT resources within the Data & Analytics (D&A) team focused on Analytics activities. Work on our Big Data/integration strategy enabling Data &...,"Manager, Analytics",Analytics,Lyndhurst,NJ,07071,
18,Johnson & Johnson Family of Companies,"New Brunswick, NJ",Not available,"Provides advanced analytics, on-boarding and training to the regional analytics team members whenever needed....",Enterprise Advanced Analytics Associate,Analytics,New Brunswick,NJ,,
19,Dun & Bradstreet,"Short Hills, NJ 07078",Not available,"As Predictive Analytics, Analyst in the Advanced Analytic Services team, you will work as a consultant on marketing projects for our largest customers....","Predictive Analytics, Analyst",Analytics,Short Hills,NJ,07078,
20,Pfizer,"New York, NY 10017 (Midtown area)",Not available,The Global Analytic Methodology Center (GAMC) within Scaled Analytics provides global support and is the custodian of mature advanced analytics methodologies...,"Senior Manager, Analytics and Enablement",Analytics,New York,NY,10017,(Midtown area)
21,DISNEY,"New York, NY 10036",Not available,It works closely with analytics and data scientists as well as Product and Technology teams to support growth with Data....,"Director, Analytics Capabilities",Analytics,New York,NY,10036,
22,Novartis,"East Hanover, NJ",Not available,"927 million. That’s how many lives our products touched in 2017. And while we’re proud of that, in this world of digital and technological transformation, we...","Sr. Analyst, Commercial Effectiveness, Business Planning and...",Business Analyst,East Hanover,NJ,,
23,Bristol-Myers Squibb,"Princeton, NJ 08540",Not available,A minimum of two-three years of relevant business analytics experience preferred. Associates gain experience in the development of business insights & analytics...,Business Insights & Analytics Rotational Development Program,Analytics,Princeton,NJ,08540,
24,DISNEY,"New York, NY 10036",Not available,"This role is expected to integrate marketing performance data, consumer subscriptions data, and analytics to help the marketing organization make smarter,...",VP Marketing Analytics,Analytics,New York,NY,10036,
25,CVS Health,"Cumberland, RI",Not available,"Extensive data & analytics background. As the Head of Asset Analytics & Insights, you are an experienced proven leader with deep technical and financial...",Head of Asset Analytics & Insights,Analytics,Cumberland,RI,,
26,Verizon,"Morristown, NJ 07960",Not available,Good understanding of third party analytic tools. Driving the adoption of analytics in decision making. Defining and driving the analytics strategy and modeling...,Predictive and Prescriptive Analytics Principal,Analytics,Morristown,NJ,07960,
27,National Security Agency,"Fort Meade, MD","$45,972 - $73,105 a year","$45,972 - $73,105 a year


                            The ideal candidate is someone with a desire for continual learning and who possesses strong communication (oral and written), problem-solving, analytic,...",Staff Officer - Entry to Experienced Level,Other,Fort Meade,MD,,
28,Kelly Services,"Piscataway, NJ 08854",Not available,"Our client, a top international Pharmaceutical/CPG manufacturer, is currently seeking a Jr. Data Analyst for a 12+ month contract position. The position is...",Jr. Data Analyst,Data Analyst,Piscataway,NJ,08854,
29,Synchrony,"Stamford, CT","$150,000 - $300,000 a year","Experience in Analytics leadership roles, preferably with responsibility for multiple analytics functions. Manage and develop retail card Analytics Leaders and...","SVP, Retail Card Analytics",Analytics,Stamford,CT,,
30,Wayfair,"Boston, MA 02116 (South End area)",Not available,"Manager, Strategy and Analytics:. Senior Analyst, Strategy and Analytics:. Opportunities on the B2C Strategy and Analytics Team include:....",B2C Strategy and Analytics Opportunities,Analytics,Boston,MA,02116,(South End area)
31,DISNEY,"New York, NY 10036",Not available,This position will deliver analytics and insights to advance our understanding of customer engagement and content performance across our products....,VP Content & Product Analytics,Analytics,New York,NY,10036,
32,Volvo,"Rockleigh, NJ 07647",Not available,"The Strategy and Analytics Specialist reports to the Business Development Manager, Customer Service. Want to innovate to make life simpler?...",Strategy and Analytics Specialist,Analytics,Rockleigh,NJ,07647,
33,SAIC,"Troy Hills, NJ",Not available,Proven analytics experience in pharma and proven working experience in a large global company. Teva is a global pharmaceutical leader and the worlds largest...,Associate Director Analytics and PMO,Analytics,Troy Hills,NJ,,
34,Microsoft,United States,Not available,"As a business program manager, you will have the opportunity to work on a variety of different projects leveraging your diverse skillset across sales, marketing...",Full Time opportunities for students and recent graduates: B...,Other,United States,,,
35,Amazon.com,"Newark, NJ",Not available,"Hands-on analytics, data science or digital analytics. The Global Business Intelligence Team is a core part of Audible’s mission to unleash the power of the...","Director, Content Analytics",Analytics,Newark,NJ,,
36,"Valley Health System of Ridgewood, NJ","Paramus, NJ 07653",Not available,"Position utilizes data available from various sources including commercial payor portals, analytics vendors and software programs to identify improvement...",Healthcare Data Analyst Coligo Care,Data Analyst,Paramus,NJ,07653,
37,Deloitte,"New York, NY 10004 (Financial District area)",Not available,"Creating clear, effective, and detailed deliverable content, including written, visual, and oral deliverables, which are informed by research, analytics, and...","Consultant, Strategy & Analytics, Strategy",Analytics,New York,NY,10004,(Financial District area)
38,"GEM Technology, Inc.","Fort Detrick, MD","$152,760 a year","$152,760 a year


                            *Sub-Title: Medical Liaison Officer Experience and/or Certifications Required  Preferred: DAU Program Management Level III certification, or its...",LCAT: Business Analyst,Business Analyst,Fort Detrick,MD,,
39,Citi,"Wilmington, DE 19894",Not available,"Experience in Analytics functions. Global Reporting, Tools & Analytics (GRA) is part of the Global Consumer Business Operational Risk & Control (CBORC)...",VP: Reporting & Analytics Report Development,Analytics,Wilmington,DE,19894,
40,Becton Dickinson & Company,"Franklin Lakes, NJ 07417",Not available,Proven experience and understanding of security analytics. Job Description Summary....,Application Security Manager,Management,Franklin Lakes,NJ,07417,
41,Pfizer,"New York, NY 10017 (Midtown area)",Not available,"Pfizer Business Analytics is comprised of three distinct analytic groups:. Strong analytic, problem-solving and quantitative skills;...",Business Analytics Manager,Analytics,New York,NY,10017,(Midtown area)
42,Rootliquids,"Jersey City, NJ","$68,000 - $72,000 a year",We are looking for Recent Graduates for Entry Level Business Analyst Position. The Business Analyst role will focus on defining/refining business requirements...,Entry Level Business Analyst,Business Analyst,Jersey City,NJ,,
43,Bayer,"Whippany, NJ",Not available,"A certification in Google Analytics is preferred or other Web Analytics platform (Adobe) preferred. 4-6 years of experience in business intelligence, marketing...","Assistant Manager, Digital Analytics & Reporting",Analytics,Whippany,NJ,,
44,Johnson & Johnson Family of Companies,"Titusville, NJ",Not available,"Responsibilities include market research, forecasting and secondary data analytics. Update and manage content on the Business Analytics IPad application....",SR MGR NP AND BD ANALYTICS IMMUNOLOGY,Analytics,Titusville,NJ,,
45,Stryker,"Mahwah, NJ",Not available,"Also prefer experience in SAP with focus on data analytics, data mining, and dashboard construction. Follow processes and procedures to support, streamline, and...",Senior Business Analyst,Business Analyst,Mahwah,NJ,,
