Title,Summary,Company,Location,Salary
Data Link Analyst Moorestown NJ,Data Link Analyst. The Data Link Analyst will provide support for the Navy Combat Systems running Simulation systems....,"Future Technologies, Inc.","Moorestown, NJ",Not available
Data Analyst,"$50,000 a year


Analyst collects data from higher education institutions, in particular engineering schools. Merges data from databases, spreadsheets to display into other...",American Society for Engineering Education (ASEE),"Washington, DC 20036 (Downtown area)","$50,000 a year"
Internship: IT Analyst,"As an IT Analyst, you must be capable of:. Exciting Opportunity to be part of the Covance 2019 Global Internship Program an IT Analyst....",Covance,"Princeton, NJ 08540",Not available
RN Clinical Data Analyst- Quality,Also responsible for maintaining accurate and complete data and providing analysis through current and/or retrospective case review....,Christus Health,"Corpus Christi, TX 78404 (Bay area)",Not available
Data Analyst,The Data Analyst will provide data analytics for the New York Region and serve as a subject manager expert (SME) on various Corporate initiatives that manage...,Suez in North America,"West Nyack, NY",Not available
Digital Marketing Jr. Business Analyst / Data Scientist,"BUSINESS ANALYST / DATA SCIENTIST*. Google Data Studio for data analysis. SQL for data management. Initially, this will be a 3 month contractor position....",SmartSites,"Paramus, NJ","$40,000 a year"
(CPT/OPT Accepted)Entry Level BI/SQL Developer / Data Analys...,"Based in Hamilton, NJ, specializing in Software Development, Business Intelligence, Data Analytics, and Big Data, is looking for recent Stem Graduate / F1 /OPT...",BeaconFire Solution,"Township of Hamilton, NJ","$60,000 - $75,000 a year"
Data Analyst - Entry Level,Data Analyst Job Duties Data analyst. Data analysts will develop analysis and reporting capabilities. Efficiency and quality Acquire data from primary or...,JLAE,"Clarksville, TN",Not available
Entry-Level Real Time Analyst,"Strong written and verbal communication skills, including data presentation. Work closely with Scheduling and Forecasting Analysts providing real-time trending...",Wayfair,"Horseheads, NY",Not available
Data Analyst,"Perform status tracking, efficiency analysis, resource allocation, data analysis, change log management, and overall process management support....",CEF Solutions Inc.,"Fort Lee, NJ 07024",Not available
"Healthcare Analyst, Data Insights",Understand investment and manufacturer client/user data needs. Oversee and manage monthly volume and usage data collection from longitudinal panels of...,Guidepoint Global,"New York, NY 10017 (Midtown area)",Not available
Data Reporting Analyst,"Minimum of 3 years of experience with programming, data management, and/or building analytics reports and visualizations using a variety of tools....",The Port Authority of New York and New Jersey,"Jersey City, NJ 07302 (Downtown area)",Not available
Data Analyst Supporting the FBI,A Data Analyst executes the following duties:. A Data Analyst must meet the following qualifications:. Ability to enter and retrieve data from data bases....,FSA,"Washington, DC 20004 (Downtown area)",Not available
Business Data Analyst,Uses knowledge of business and data structure to discover and/or anticipate problems where data can be used to solve the problem....,DHL Supply Chain,"Union City, GA",Not available
"Data Analyst, Social Networking","SQL for data extraction and management (Oracle, MySQL). Utilizing Big Data technologies and innovative workforces like crowdsourcing will allow you to analyze...",Bloomberg,"Princeton, NJ 08544",Not available
BI Analyst,Results-Oriented and Data Driven:. Data manipulation and presentation in Excel. Must be a data driven decision maker who loves impacting the bottom line and...,Spigot Inc.,"Fort Myers, FL",Not available
Software Business Analyst,"Analyze application/business domain data requirements and business rules, understanding the data flow from source to screen....","Ideal Concepts, Inc.","Allentown, PA 18109",Not available
Data Analyst,"Experience with data collection, merging data and analysis of data sets. Support account management, business analyst, DBA, and data manager to provide data...",Alliance For Better Health Care LLC,"Troy, NY 12180",Not available
Data Scientist - Entry to Experienced Level,"Applying the scientific process to data evaluation, performing statistical inference, and data mining. Analyzing data using mathematical/statistical methods....",National Security Agency,"Fort Meade, MD","$96,970 - $148,967 a year"
Data Analyst,Creates and maintains a data dictionary and meta data. Supports efforts to ensure that data standards are developed and maintained....,Emory University,"Atlanta, GA",Not available
Data Capture Analyst (Entry Level/Part Time Contract),Data Capture Analyst (Part Time Contract)*. Minimum six months to one year item data entry or related experience....,Digital Risk,"Lake Mary, FL 32746",Not available
Data Scientist - Entry Level,Code proficiently in at least one language (Python) used by data scientists and/or data engineers. Ability to develop enticing data stories and demos based on...,Aemigiance Consulting Solutions,"Seattle, WA",Not available
Data Analyst,Translates complex data into constructive data and information and makes recommendations. General Business/Turning Data into Information/MASTERY....,Aetna,"Detroit, MI",Not available
Data Analyst,"The Data Analyst is responsible for developing and managing HIPAA compliant secure data mapping and transfer protocols including HL7 Interfaces, SFTP, ETL and...",Care Design New York,"Hopewell Junction, NY",Not available
Data Analytics Intern,"The Times seeks a Data Analyst Intern to join our growing Data & Insight Group, which is responsible for data analytics, data science and data engineering for...",The New York Times,"New York, NY 10036",Not available
Data Analyst,Assisting with the review of data for errors and resolving data issues; This position requires expertise relevant to conducting research needed to inform...,Penn State University,"University Park, PA",Not available
Data Analyst,"Master and Reference Data in a Financial Institution. 5+ years of experience with SAS or SQL, or other data management, reporting and query tools....",s•com,"Duluth, GA",Not available
Data Analyst,"$30,000 - $36,000 a year


                            CATA, a two-time recipient of the FTA Administrator’s Award for Outstanding Public Service, is seeking a full time Data Analyst to join our team!....",Crawford Area Transportation Authority,"Meadville, PA 16335","$30,000 - $36,000 a year"
Senior Analyst - Master Data Management (REMOTE),Minimum 5 years' experience in data mining techniques and procedures and knowing when their use is appropriate....,Remote -US,"Hartford, CT 06103 (Downtown area)",Not available
